a,b,profit,start
"[10.0, 11.0, 17.0, 21.0, 27.0]",1822,2.532907801,73.97308238
"[10.0, 11.0, 16.0, 21.0, 27.0]",1453,0.460302613,106.4750344
"[10.0, 11.0, 16.0, 17.0, 27.0]",1460,0.877590691,106.204319
"[10.0, 11.0, 16.0, 17.0, 21.0]",1556,-2.063898523,108.3116506
"[10.0, 11.0, 14.0, 21.0, 27.0]",1547,0.031070968,105.0899677
"[10.0, 11.0, 14.0, 17.0, 27.0]",1554,0.424560051,104.8421708
"[10.0, 11.0, 14.0, 17.0, 21.0]",1662,-2.731495495,106.9563904
"[10.0, 11.0, 14.0, 16.0, 27.0]",1437,0.746358582,107.5491522
"[10.0, 11.0, 14.0, 16.0, 21.0]",1532,-2.202307692,109.6419752
"[10.0, 11.0, 14.0, 16.0, 17.0]",1542,-1.70878886,109.4363536
"[9.0, 13.0, 15.0, 21.0, 27.0]",2569,-4.328859478,-88.28747373
"[9.0, 13.0, 15.0, 21.0, 24.0]",1430,-5.608426573,-86.24053846
"[9.0, 11.0, 15.0, 21.0, 27.0]",2569,-4.328859478,-88.28747373
"[9.0, 11.0, 15.0, 21.0, 24.0]",1430,-5.608426573,-86.24053846
"[9.0, 11.0, 13.0, 21.0, 27.0]",2571,-4.333539479,-88.22047063
"[9.0, 11.0, 13.0, 21.0, 24.0]",1431,-5.610580014,-86.17350105
"[9.0, 11.0, 13.0, 15.0, 27.0]",2587,-3.919945883,-88.44223425
"[9.0, 11.0, 13.0, 15.0, 24.0]",1443,-5.052134442,-86.58302841
"[9.0, 11.0, 13.0, 15.0, 21.0]",2911,-8.753342494,-85.51998282
"[7.0, 16.0, 17.0, 21.0, 27.0]",1782,-3.020763187,83.97488777
"[7.0, 14.0, 17.0, 21.0, 27.0]",1887,-3.271875994,83.65971383
"[7.0, 14.0, 16.0, 21.0, 27.0]",1767,-3.673910583,84.88899264
"[7.0, 14.0, 16.0, 17.0, 27.0]",1774,-2.341792559,84.5256708
"[7.0, 14.0, 16.0, 17.0, 21.0]",1859,-5.661984938,86.43631522
"[7.0, 10.0, 17.0, 21.0, 27.0]",1913,-3.086089911,82.67886043
"[7.0, 10.0, 16.0, 21.0, 27.0]",1780,-3.034441325,84.02469961
"[7.0, 10.0, 16.0, 17.0, 27.0]",1791,-2.134567281,83.84601898
"[7.0, 10.0, 16.0, 17.0, 21.0]",1875,-5.475802667,85.81386133
"[7.0, 10.0, 14.0, 21.0, 27.0]",1885,-3.284925769,83.70658537
"[7.0, 10.0, 14.0, 17.0, 27.0]",1895,-2.473282322,83.58155673
"[7.0, 10.0, 14.0, 17.0, 21.0]",1992,-5.911320281,85.55020582
"[7.0, 10.0, 14.0, 16.0, 27.0]",1772,-2.355149464,84.57601805
"[7.0, 10.0, 14.0, 16.0, 21.0]",1857,-5.676517761,86.48538751
"[7.0, 10.0, 14.0, 16.0, 17.0]",1870,-4.76544385,86.43604813
"[6.0, 13.0, 15.0, 21.0, 27.0]",2555,-4.289894366,-88.76388889
"[6.0, 13.0, 15.0, 21.0, 24.0]",1424,-5.61440309,-86.60078652
"[6.0, 11.0, 15.0, 21.0, 27.0]",2558,-4.290382962,-88.6660805
"[6.0, 11.0, 15.0, 21.0, 24.0]",1425,-5.609985965,-86.54688421
"[6.0, 11.0, 13.0, 21.0, 27.0]",2562,-4.28939961,-88.45240156
"[6.0, 11.0, 13.0, 21.0, 24.0]",1426,-5.599102384,-86.4887798
"[6.0, 11.0, 13.0, 15.0, 27.0]",2573,-3.879188034,-88.91609946
"[6.0, 11.0, 13.0, 15.0, 24.0]",1437,-5.055734168,-86.94144746
"[6.0, 11.0, 13.0, 15.0, 21.0]",2897,-8.736276743,-85.93126639
"[6.0, 9.0, 15.0, 21.0, 27.0]",2554,-4.310364135,-88.81507439
"[6.0, 9.0, 15.0, 21.0, 24.0]",1422,-5.600189873,-86.73903657
"[6.0, 9.0, 13.0, 21.0, 27.0]",2555,-4.313373777,-88.78579256
"[6.0, 9.0, 13.0, 21.0, 24.0]",1422,-5.600189873,-86.73903657
"[6.0, 9.0, 13.0, 15.0, 27.0]",2572,-3.899195179,-88.9670451
"[6.0, 9.0, 13.0, 15.0, 24.0]",1435,-5.04087108,-87.07891986
"[6.0, 9.0, 13.0, 15.0, 21.0]",2895,-8.749944732,-86.01499136
"[6.0, 9.0, 11.0, 21.0, 27.0]",2557,-4.299080954,-88.71271412
"[6.0, 9.0, 11.0, 21.0, 24.0]",1422,-5.600189873,-86.73903657
"[6.0, 9.0, 11.0, 15.0, 27.0]",2572,-3.899195179,-88.9670451
"[6.0, 9.0, 11.0, 15.0, 24.0]",1435,-5.04087108,-87.07891986
"[6.0, 9.0, 11.0, 15.0, 21.0]",2895,-8.749944732,-86.01499136
"[6.0, 9.0, 11.0, 13.0, 27.0]",2573,-3.902343568,-88.93790906
"[6.0, 9.0, 11.0, 13.0, 24.0]",1435,-5.04087108,-87.07891986
"[6.0, 9.0, 11.0, 13.0, 21.0]",2896,-8.751066989,-85.99012431
"[6.0, 9.0, 11.0, 13.0, 15.0]",2918,-8.279180946,-86.16395476
"[5.0, 16.0, 17.0, 21.0, 27.0]",1584,-2.638989362,127.702196
"[5.0, 14.0, 17.0, 21.0, 27.0]",1650,-2.413934307,126.5240146
"[5.0, 14.0, 16.0, 21.0, 27.0]",1565,-3.512030651,129.152636
"[5.0, 14.0, 16.0, 17.0, 27.0]",1570,-1.830221374,128.5002977
"[5.0, 14.0, 16.0, 17.0, 21.0]",1561,-2.812624712,128.8919724
"[5.0, 10.0, 17.0, 21.0, 27.0]",1730,-1.223793584,117.9298187
"[5.0, 10.0, 16.0, 21.0, 27.0]",1582,-2.648219178,127.8958447
"[5.0, 10.0, 16.0, 17.0, 27.0]",1592,-1.618509834,127.4191301
"[5.0, 10.0, 16.0, 17.0, 21.0]",1582,-2.648219178,127.8958447
"[5.0, 10.0, 14.0, 21.0, 27.0]",1649,-2.427048941,126.6228196
"[5.0, 10.0, 14.0, 17.0, 27.0]",1658,-1.493728198,126.2614753
"[5.0, 10.0, 14.0, 17.0, 21.0]",1649,-2.427048941,126.6228196
"[5.0, 10.0, 14.0, 16.0, 27.0]",1569,-1.843491215,128.6051413
"[5.0, 10.0, 14.0, 16.0, 21.0]",1560,-2.82672043,128.9976805
"[5.0, 10.0, 14.0, 16.0, 17.0]",1569,-1.843491215,128.6051413
"[3.0, 11.0, 13.0, 15.0, 21.0]",1409,-18.95724414,-84.10378545
"[17.0, 21.0, 27.0, 35.0]",1616,2.498056931,36.21971535
"[17.0, 21.0, 24.0, 27.0]",1884,3.237956476,39.18863588
"[16.0, 17.0, 21.0, 27.0]",2533,-2.568622187,92.34180418
"[16.0, 17.0, 21.0, 24.0]",1324,0.208036254,97.75543051
"[15.0, 21.0, 24.0, 27.0]",1461,0.534195756,-82.03858316
"[14.0, 21.0, 24.0, 27.0]",1327,1.395508666,93.21788244
"[14.0, 17.0, 24.0, 27.0]",1330,2.323263158,93.44580451
"[14.0, 17.0, 21.0, 27.0]",2653,-2.691576373,91.46136569
"[14.0, 17.0, 21.0, 24.0]",1398,-0.213526466,96.67131617
"[14.0, 16.0, 21.0, 27.0]",2511,-3.083897293,93.21921178
"[14.0, 16.0, 21.0, 24.0]",1314,-0.08781583,98.4421309
"[14.0, 16.0, 17.0, 27.0]",2518,-1.725275903,93.14639539
"[14.0, 16.0, 17.0, 24.0]",1318,0.857481032,98.83173748
"[14.0, 16.0, 17.0, 21.0]",2636,-4.77705347,95.31775502
"[13.0, 21.0, 24.0, 27.0]",1395,0.595369176,-89.38315412
"[13.0, 15.0, 24.0, 27.0]",1393,0.931026561,-90.74740847
"[13.0, 15.0, 21.0, 35.0]",1327,-7.129811605,-87.40218538
"[13.0, 15.0, 21.0, 27.0]",2823,-2.783910733,-89.78186327
"[13.0, 15.0, 21.0, 24.0]",1570,-4.175050955,-87.13068153
"[13.0, 15.0, 17.0, 21.0]",1318,-1.121069803,-89.03466616
"[11.0, 21.0, 27.0, 35.0]",1843,-1.085753796,-19.00132321
"[11.0, 21.0, 24.0, 27.0]",2149,1.290148837,-21.26938605
"[11.0, 17.0, 24.0, 27.0]",1323,5.134924471,21.59350453
"[11.0, 17.0, 21.0, 27.0]",2721,1.751307862,21.53677443
"[11.0, 17.0, 21.0, 24.0]",1455,1.386538462,22.25142857
"[11.0, 16.0, 21.0, 27.0]",1460,0.465544148,105.982334
"[11.0, 16.0, 17.0, 27.0]",1463,0.882465847,105.9936817
"[11.0, 16.0, 17.0, 21.0]",1559,-2.053666667,108.1099231
"[11.0, 15.0, 24.0, 27.0]",1454,0.934463549,-83.87351444
"[11.0, 15.0, 21.0, 35.0]",1382,-7.310101302,-80.39988423
"[11.0, 15.0, 21.0, 27.0]",2938,-2.828049694,-83.38020762
"[11.0, 15.0, 21.0, 24.0]",1638,-4.237692308,-80.30761905
"[11.0, 15.0, 17.0, 21.0]",1446,-1.856175657,-74.30772476
"[11.0, 14.0, 21.0, 27.0]",1552,0.078132221,104.5694801
"[11.0, 14.0, 17.0, 27.0]",1556,0.46190781,104.5069206
"[11.0, 14.0, 17.0, 21.0]",1664,-2.687113772,106.636491
"[11.0, 14.0, 16.0, 27.0]",1442,0.765637119,107.1973892
"[11.0, 14.0, 16.0, 21.0]",1538,-2.20211039,109.2590195
"[11.0, 14.0, 16.0, 17.0]",1544,-1.694637775,109.2951358
"[11.0, 13.0, 24.0, 27.0]",1401,1.026052819,-90.10164168
"[11.0, 13.0, 21.0, 35.0]",1336,-7.076275243,-86.58460733
"[11.0, 13.0, 21.0, 27.0]",2846,-2.70599368,-88.83462781
"[11.0, 13.0, 21.0, 24.0]",1578,-4.064797212,-86.57568441
"[11.0, 13.0, 17.0, 21.0]",1341,-1.010096798,-86.99280715
"[11.0, 13.0, 15.0, 35.0]",1337,-6.648563949,-87.72354525
"[11.0, 13.0, 15.0, 27.0]",2840,-2.39421831,-89.97530986
"[11.0, 13.0, 15.0, 24.0]",1582,-3.631826802,-87.54529077
"[11.0, 13.0, 15.0, 21.0]",3198,-7.223067542,-87.17626329
"[11.0, 13.0, 15.0, 17.0]",1327,-0.589306707,-89.31735494
"[10.0, 21.0, 24.0, 27.0]",1453,4.687484746,74.12085424
"[10.0, 17.0, 24.0, 27.0]",1460,4.145197817,76.27736016
"[10.0, 17.0, 21.0, 35.0]",1356,0.273610294,67.98595588
"[10.0, 17.0, 21.0, 27.0]",2931,-0.848758926,73.36631418
"[10.0, 17.0, 21.0, 24.0]",1548,1.361325611,77.97167954
"[10.0, 16.0, 21.0, 27.0]",2528,-2.578208778,92.48222618
"[10.0, 16.0, 21.0, 24.0]",1321,0.175484115,97.91016641
"[10.0, 16.0, 17.0, 27.0]",2543,-1.563263862,92.41197798
"[10.0, 16.0, 17.0, 24.0]",1328,1.020067771,98.20573795
"[10.0, 16.0, 17.0, 21.0]",2661,-4.638342728,94.61337091
"[10.0, 14.0, 24.0, 27.0]",1328,2.285778781,93.53021821
"[10.0, 14.0, 21.0, 27.0]",2649,-2.722047511,91.66657617
"[10.0, 14.0, 21.0, 24.0]",1396,-0.251002147,96.75392985
"[10.0, 14.0, 17.0, 27.0]",2663,-1.781159475,91.63679925
"[10.0, 14.0, 17.0, 24.0]",1403,0.550256593,97.03864576
"[10.0, 14.0, 17.0, 21.0]",2795,-4.94462281,93.82900608
"[10.0, 14.0, 16.0, 27.0]",2514,-1.736339428,93.25565183
"[10.0, 14.0, 16.0, 24.0]",1316,0.818542141,98.92100987
"[10.0, 14.0, 16.0, 21.0]",2632,-4.791097191,95.42458998
"[10.0, 14.0, 16.0, 17.0]",2649,-3.781350943,95.43011698
"[10.0, 11.0, 21.0, 27.0]",1822,4.215672766,71.38071044
"[10.0, 11.0, 17.0, 27.0]",1830,2.906518197,73.79485606
"[10.0, 11.0, 17.0, 21.0]",1973,-0.45143073,74.38157683
"[10.0, 11.0, 16.0, 27.0]",1460,0.877590691,106.204319
"[10.0, 11.0, 16.0, 21.0]",1556,-2.063898523,108.3116506
"[10.0, 11.0, 16.0, 17.0]",1566,-1.578506701,108.1175367
"[10.0, 11.0, 14.0, 27.0]",1554,0.424560051,104.8421708
"[10.0, 11.0, 14.0, 21.0]",1662,-2.731495495,106.9563904
"[10.0, 11.0, 14.0, 17.0]",1672,-2.273414925,106.7828836
"[10.0, 11.0, 14.0, 16.0]",1542,-1.70878886,109.4363536
"[9.0, 15.0, 21.0, 27.0]",2569,-4.328859478,-88.28747373
"[9.0, 15.0, 21.0, 24.0]",1430,-5.608426573,-86.24053846
