x,y
-29.230124,2.9985814
27.72528,-4.9061584
-16.49997,-18.288832
-6.729542,13.651656
19.303125,31.576641
-29.24213,3.0186803
-6.114816,9.014225
1.1718625,-3.2678466
19.427113,-6.345211
1.2545706,-4.129641
-29.630686,2.7560198
-27.801332,3.209755
-29.239937,3.0148642
-29.292595,3.088185
-28.851963,1.6134816
-17.5092,-18.524572
-6.2645073,14.373443
27.725964,-4.9013476
27.74866,-4.4806967
27.497278,-6.930904
27.72528,-4.9061584
27.868256,-4.8819304
26.301264,-4.699815
-16.396994,-18.384563
-6.76725,13.551611
-16.49997,-18.288832
-6.407627,13.521585
-16.49997,-18.288832
-6.407627,13.521585
-16.490925,-18.356897
-6.729542,13.651656
-16.553782,-20.075825
-4.8301353,13.06913
-11.012599,-14.034652
19.305086,31.57032
19.878832,32.23717
17.447466,30.512344
19.303125,31.576641
20.030046,31.526846
20.079075,31.690044
1.028723,-3.2766428
19.40953,-6.0669513
1.2407144,-4.140321
-6.116913,9.009391
-2.3564715,-1.771727
-29.626156,2.7332351
-6.0578604,8.809651
-27.79309,3.203712
-29.180277,2.9120836
-29.283606,3.081484
-28.852554,1.6159611
-6.114595,8.992448
-6.1185417,9.007647
-6.7389154,0.20588091
-13.812212,-19.027765
-6.1102386,10.627755
-6.3217106,0.86042064
0.49667898,-3.3653035
19.396887,-6.053956
1.4911886,-3.8583097
1.1720055,-3.2684054
1.0807287,-3.2671134
18.792252,-6.512026
0.6923541,-3.890235
19.417816,-6.0779753
1.5017526,-3.8568301
19.403843,-6.059056
1.5003235,-3.8611917
18.959042,-5.8486557
-26.176529,2.62125
-29.629192,2.7484887
-29.632708,2.7644002
-29.12279,1.582761
-27.799786,3.2133813
-27.805195,3.2091904
-27.585548,2.206249
-29.29842,3.0922832
-28.851963,1.6134815
-28.834082,1.598282
-17.509079,-18.524063
-6.2645073,14.373443
-17.509007,-18.523802
-6.2645073,14.373443
-17.53933,-18.561684
-6.1784425,14.389189
-17.442123,-19.931932
-4.752295,13.792863
-11.557872,-14.468868
27.748297,-4.4815345
27.498426,-6.926526
27.68489,-4.900474
27.867655,-4.882319
26.30291,-4.699629
27.428312,-7.053329
27.74866,-4.4806967
27.770987,-4.4861765
26.380085,-4.468275
27.497278,-6.930904
27.51088,-6.9149685
26.391792,-6.7891383
27.868256,-4.8819304
26.301264,-4.699815
26.279346,-4.715997
-16.396994,-18.384563
-6.76725,13.551615
-16.309204,-18.61183
-6.5506496,13.275147
-16.074574,-18.675362
-6.606458,13.205819
-16.45277,-20.011856
-4.9951158,12.922989
-11.565513,-14.056856
-16.49997,-18.288832
-6.407627,13.521585
-16.490925,-18.356897
-6.407627,13.521585
-16.553782,-20.075825
-4.8301353,13.06913
-11.320827,-13.917463
-16.477428,-18.593979
-6.407627,13.521585
-16.553782,-20.075825
-4.8301353,13.06913
-11.005125,-14.041382
-16.531752,-20.061869
-4.8301353,13.06913
-11.333952,-13.918756
-10.962734,-14.461471
19.428268,32.28177
17.439598,30.499695
19.284992,31.581732
19.690508,31.280445
19.305086,31.57032
17.577097,29.619192
19.865717,32.241673
19.24424,32.160706
19.878744,32.237225
17.441786,30.513887
17.476158,30.50042
17.441788,30.513887
19.933437,31.40224
20.079075,31.690044
19.684835,31.28171
-7.1625085,0.95121825
-2.5107164,-2.1394773
-0.41684732,-2.898838
19.282412,-6.5006676
0.8489328,-4.1346097
-6.0535417,8.746514
0.67471063,-3.670821
1.0040295,-3.2836308
18.784058,-6.50401
1.4200382,-3.452026
19.292927,-6.489325
0.972078,-4.175699
19.312323,-6.482506
1.2244158,-4.140499
18.95421,-5.850769
-6.113854,8.981501
-6.117635,9.003947
-6.7392836,0.2063405
-13.811056,-19.027456
-6.1106143,10.618407
-6.3216877,0.8600835
-5.8031335,0.036641877
-5.976226,7.4685245
-2.3579087,-1.7715483
-2.7908182,-1.881422
-2.3705077,-1.7531134
-29.592365,2.726571
-29.626638,2.752825
-29.122353,1.5783596
-6.058976,8.8042145
-6.7195587,0.21650922
-13.750547,-19.007147
-6.1223493,10.2996855
-6.30275,0.8351144
-27.774258,3.1916115
-27.794601,3.2067587
-27.575314,2.2100914
-29.192629,2.9453182
-28.83405,1.6168122
-28.834719,1.600782
-6.115444,8.986117
-6.7356243,0.20818655
-13.799171,-19.023954
-6.111998,10.59217
-6.3201,0.855852
-6.739153,0.20786808
-13.810903,-19.028051
-6.1092553,10.618534
-11.602103,-15.46729
-6.3238325,0.8593182
0.48849145,-3.3668158
0.4932593,-3.366774
-2.4432585,-2.2698426
18.352043,-6.349525
0.41070506,-3.6317306
19.2993,-6.4939775
0.86273354,-4.1381006
19.275303,-6.503235
0.8507467,-4.1343074
18.93215,-5.860336
1.0653747,-3.2710068
18.792252,-6.512026
1.4276677,-3.4565659
18.785513,-6.5036807
0.6860967,-3.888815
18.610964,-6.137298
