x,y
16.630924,-2.7277167
-9.383008,28.249931
-9.613668,27.62625
24.635075,-19.576542
-9.411737,27.954336
25.888369,-18.510046
26.18911,-18.272655
25.612171,-17.83697
16.395971,-1.9311217
-7.7633758,28.077211
-8.316349,26.644892
16.28414,-1.5561695
24.821508,-18.639303
16.03593,-1.6433975
16.026764,-1.7961308
16.763607,-1.075839
7.7498446,-8.164004
21.24429,8.279823
-7.4643426,28.415571
-8.477885,26.553545
-7.9533587,24.045073
-8.152912,24.364382
-7.3056474,28.319551
-8.140416,26.368473
-7.8236465,28.19168
-7.9998136,26.211298
-14.600311,8.592094
-14.165934,8.848259
7.374666,38.02207
-8.049735,27.406464
7.3728247,37.53316
7.986442,37.886414
6.917466,36.208965
24.976868,-18.490269
24.086304,-18.137093
24.329798,-18.09452
24.197226,-18.28641
23.753042,-18.89923
6.302705,-27.684338
43.209515,2.9836202
-7.1572623,27.154835
-6.803197,27.457205
-7.8283286,23.969324
-6.793288,27.144127
-6.979875,26.639622
-14.382399,8.518009
7.729551,37.915745
8.027295,37.798656
26.579918,-14.915306
27.382042,-16.340303
24.799133,-14.017414
15.304111,0.15095852
-2.152733,27.786287
-2.880837,28.01263
-1.3985624,28.895111
26.83039,-14.801701
27.404903,-16.180521
26.529375,-15.075163
27.15088,-16.380478
29.89396,-14.000064
29.41101,-14.684591
4.7245693,-28.756586
4.1563354,-29.011824
40.9498,4.057378
25.591236,-16.652857
41.16072,3.131147
26.076717,-13.825965
25.5358,-14.261609
29.863106,-13.221462
4.2630916,-28.237614
41.565334,4.2861714
15.037638,-0.2672093
14.667372,-0.21294887
16.390621,0.9819491
6.874946,-7.997249
21.352478,9.191465
-4.5717387,19.91778
-5.9119368,20.449203
-2.8822737,26.261856
-3.6734478,26.721817
-3.4048579,24.84077
-4.3780704,25.188473
-14.103141,6.421143
-12.258122,7.0973744
12.741466,38.67578
-4.9832587,26.905722
12.046753,38.040386
13.105758,38.054016
7.6659145,33.934326
24.375662,-15.534982
15.082287,0.57906616
14.576149,0.70091754
16.200975,1.5626479
6.463299,-8.263927
21.402205,9.617255
24.96754,-16.243881
24.571856,-16.219482
40.97752,2.8898773
28.871933,-13.604419
5.36474,-27.658289
42.58685,3.7359083
14.286383,-0.025000982
16.142374,1.5216742
6.481488,-8.156869
21.16961,9.643452
16.080986,1.4486176
6.596868,-7.6358075
21.179886,9.468643
5.8304653,-8.983991
22.20075,10.012897
-25.944334,-11.6653185
-4.274938,20.494926
-5.663715,20.842834
-2.7198558,26.729464
-3.537981,27.268902
-3.6787274,24.17086
-4.5623183,24.665644
-14.244815,6.343932
-12.663044,7.226748
11.680021,36.843372
-4.8506656,27.364061
11.250082,37.242344
12.2996025,36.443264
7.720678,33.93817
-5.3969493,18.850723
-6.2054253,19.548285
-4.921943,19.423664
-6.064297,20.06561
-16.094872,-0.61491936
-16.295765,-0.86805403
22.038448,39.87049
-5.1022463,20.318972
21.644703,39.28844
22.376196,39.350597
8.269976,33.02863
-3.191858,25.371767
-4.107282,25.654825
-14.370857,6.016634
-12.419731,7.339065
9.981326,36.102306
-4.7409105,26.700882
10.311003,36.74947
10.641892,35.633648
7.931104,34.039288
-14.465542,5.626599
-12.791398,7.4165425
10.232773,39.060326
-5.2122917,25.853758
10.610518,38.208652
10.938861,39.071255
7.655356,33.995277
-38.589203,11.35214
-13.885885,7.3208704
-38.079304,10.768993
9.209593,37.709965
-38.744915,10.774641
-34.986553,7.52236
24.61543,-14.989476
14.011517,0.7448914
25.480614,-15.664802
25.15325,-15.53055
29.097523,-13.519687
5.1022396,-27.76138
42.44274,3.9492087
13.797432,0.06888822
6.4539933,-7.171563
23.724964,-14.899906
23.58212,-15.128283
28.801147,-12.641966
4.873961,-26.793098
43.011765,4.6479454
23.667976,-15.822994
28.205431,-12.643593
5.063624,-26.629568
43.32125,4.6402535
28.445938,-12.874516
5.1773553,-27.02768
43.04301,4.164524
5.99302,-26.490252
44.47316,5.51576
-29.89453,-34.9931
-1.69717,27.490156
-3.929518,19.380781
-2.0099514,25.958548
-2.5681095,24.537455
-12.531112,6.0140495
12.823219,38.15502
-3.6346526,20.01625
-1.8608985,26.397297
-2.9398496,23.874626
