code,work,1,11,2,21,3,31,4,41,5,51,6,61,7,71,8,81,9,91,biao
g7uoijja,27,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,1,-3,1,-4,0,-10,1
8g2iaxf0,15,0,-15,0,-15,0,-15,0,-15,0,-15,1,-16,1,-15,1,-21,0,-32.5,1
1yemb6kz,39,1,9,1,7.52,1,4,1,6.4,1,6.52,0,3.37,1,6.768,1,3.37,0,8.37,1
x6cv314a,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,-20.5,1
26ovv9nz,39,1,9,1,7.38,1,4,1,4.08,1,4.38,0,5.56,1,6.642,1,5.56,0,10.56,1
qrj0woux,9,0,-21,0,-21,0,-21,0,-21,0,-21,1,-22,1,-21,3,-27,0,-64.5,1
edydbr11,24,0,-6,0,-6,0,-6,0,-6,0,-6,3,-6,1,-6,2,-21,0,-35,1
i3ugntg2,18,0,-12,0,-12,0,-12,0,-12,0,-12,0,-13,1,-12,1,-13,0,-13.5,1
nil7z8nt,30,0,0,0,0,0,0,0,0,0,0,3,-1,1,0,1,-16,0,-26.5,1
i3wgnab9,18,0,-12,0,-12,0,-12,0,-12,0,-12,0,-13,1,-12,1,-13,0,-18.5,1
7rmwik5s,30,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,19,1
mzj836b0,27,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,1,-3,1,-4,0,1,1
1gblxsq7,24,0,-6,0,-6,0,-6,0,-6,0,-6,1,-6,1,-6,0,-11,0,-11,1
t9m6tgki,24,0,-6,0,-6,0,-6,0,-6,0,-6,2,-7,1,-6,1,-17,0,-22.5,1
4hjk8ew7,27,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,1,-3,1,-4,0,-14.5,1
luq8s82b,36,1,6,1,1.71,1,1,1,1.2,1,1.14,0,1.14,1,1.539,1,1.14,0,3.64,1
96b2y1fq,27,0,-3,0,-3,0,-3,0,-3,0,-3,1,-3,1,-3,1,-8,0,-10.5,1
iuy2mq1n,30,0,0,0,0,0,0,0,0,0,0,3,-1,1,0,2,-16,0,-37,1
zca7zxyf,30,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,-6,0,-17,1
jj2wn94h,36,1,6,1,0.75,1,1,1,1.6,1,1.75,0,-0.42,1,0.675,0,-0.42,0,14.08,1
68araqh7,30,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,-1,0,-4,1
zzpnlqei,18,0,-12,0,-12,0,-12,0,-12,0,-12,1,-12,1,-12,1,-17,0,-7,1
v5p7lv20,45,1,15,1,20.2,1,10,1,16,1,15.2,0,11.18,1,18.18,1,11.18,0,21.18,1
11qpbunz,18,0,-12,0,-12,0,-12,0,-12,0,-12,2,-13,1,-12,3,-23,0,-73,1
yaiqosbx,42,1,12,1,7.45,0,7,1,7,0,7.45,0,6.66,1,6.705,1,6.66,0,3.16,1
xp91b3qj,42,1,12,1,7.7,1,7,1,9.1,1,9.7,0,2.83,1,6.93,1,2.83,0,5.33,1
9t4dpmrw,33,0,3,0,0,0,3,1,3,1,3.45,1,0,1,0,0,0,0,25,1
i6lqx8ts,15,0,-15,0,-15,0,-15,0,-15,0,-15,2,-16,1,-15,0,-26,0,-22,1
sqfmjhqp,27,0,-3,0,-3,0,-3,0,-3,0,-3,1,-4,1,-3,0,-9,0,5.5,1
5kkr5060,18,0,-12,0,-12,0,-12,0,-12,0,-12,0,-13,1,-12,1,-13,0,-23,1
vywegvat,30,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,-6,0,-9,1
yl8zd4ee,21,0,-9,0,-9,0,-9,0,-9,0,-9,1,-10,1,-9,1,-15,0,-22,1
wak4ycex,24,0,-6,0,-6,0,-6,0,-6,0,-6,3,-7,1,-6,3,-22,0,-68,1
5zc86wny,36,1,6,1,1.15,0,1,1,1,1,1.15,0,1.04,1,1.035,1,1.04,0,3.04,1
zuqpu1wo,9,0,-21,0,-21,0,-21,0,-21,0,-21,2,-22,1,-21,1,-32,0,-37.5,1
mvvdc51v,21,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,1,-9,2,-9,0,-24.5,1
pr11yrv8,27,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,1,-3,2,-4,0,-17,1
tzn75yhk,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,-38,1
d39a3neo,21,0,-9,0,-9,0,-9,0,-9,0,-9,2,-10,1,-9,2,-20,0,-47,1
xcoc0hf4,12,0,-18,0,-18,0,-18,0,-18,0,-18,1,-19,1,-18,1,-24,0,-35,1
sqajrww1,12,0,-18,0,-18,0,-18,0,-18,0,-18,0,-19,1,-18,2,-19,0,-44.5,1
y7ezhr8w,42,1,12,1,8.85,0,7,1,7,1,7.35,0,6.97,1,7.965,1,6.97,0,20.97,1
nn97tpch,36,1,6,1,2.15,1,1,1,1.5,1,1.65,0,1.4,1,1.935,1,1.4,0,-1.6,1
1v3nqxwb,33,1,3,0,-2,0,-2,0,-2,0,-2,0,-3,1,-2,1,-3,0,-1,1
czeeddwe,39,1,9,1,4.8,0,4,1,4,1,3.8,0,3.32,1,4.32,2,3.32,0,-14.68,1
7dv78fh8,21,0,-9,0,-9,0,-9,0,-9,0,-9,1,-10,1,-9,1,-15,0,-17.5,1
dz4i0852,15,0,-15,0,-15,0,-15,0,-15,0,-15,1,-16,1,-15,3,-21,0,-66,1
ds12f176,33,0,3,1,2.7,1,3,1,3.3,1,3.45,0,1.13,1,2.43,2,1.13,0,-25.87,1
7u0jmbd5,21,0,-9,0,-9,0,-9,0,-9,0,-9,2,-10,1,-9,1,-20,0,-33,1
otvnb5te,12,0,-18,0,-18,0,-18,0,-18,0,-18,3,-19,1,-18,2,-34,0,-39,1
apblb506,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-5.5,1
9pofl3q7,15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-16,1,-15,1,-16,0,-23,1
9iua8wlt,33,0,3,1,3.9,1,3,1,3.6,1,3.9,0,2.91,1,3.51,1,2.91,0,7.91,1
4uuf90e3,9,0,-21,0,-21,0,-21,0,-21,0,-21,1,-22,1,-21,1,-27,0,-21,1
v74p7xt0,36,1,6,1,0.55,0,1,1,1,1,1.05,0,-1,1,0.495,1,-1,0,4,1
mykpue2n,30,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,-6,0,-2.5,1
6e0ikkw9,33,0,3,1,6.09,1,3,1,3.9,1,4.09,0,4.57,1,5.481,2,4.57,0,-10.43,1
hksrzrsd,33,0,3,1,5.45,1,3,1,3.3,1,3.45,0,3.61,1,4.905,1,3.61,0,-6.89,1
e4uy9bw2,15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-16,1,-15,1,-16,0,-18.5,1
ufku1mka,33,0,3,1,9.6,1,3,1,4.8,1,5.1,0,6.84,1,8.64,0,6.84,0,9.84,1
ttjy4cwz,18,0,-12,0,-12,0,-12,0,-12,0,-12,2,-12,1,-12,2,-22,0,-32,1
idr031u6,39,1,9,1,7.85,1,4,1,6.4,1,6.35,0,3.67,1,7.065,3,3.67,0,-16.33,1
s1ftoyto,30,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,-1,0,4,1
519slsew,21,0,-9,0,-9,0,-9,0,-9,0,-9,0,-10,1,-9,0,-10,0,-7,1
