X,Y,val
-85,-70,3.332779589821854
-85,-69,3.2326675671930047
-85,-68,3.2990961443234426
-85,-67,3.34885845847559
-85,-66,3.383403101728277
-85,-65,3.4037356763617908
-85,-64,3.410448068164797
-85,-63,3.4037356763617908
-85,-62,3.383403101728277
-85,-61,3.34885845847559
-85,-60,3.2990961443234426
-85,-59,3.2326675671930047
-85,-58,3.2990961443234426
-85,-57,3.34885845847559
-85,-56,3.383403101728277
-85,-55,3.4037356763617908
-85,-54,3.410448068164797
-85,-53,3.4037356763617908
-85,-52,3.383403101728277
-85,-51,3.34885845847559
-85,-50,3.2990961443234568
-85,-49,3.2326675671930047
-85,-48,3.2990961443234568
-85,-47,3.34885845847559
-85,-46,3.383403101728277
-85,-45,3.4037356763617908
-85,-44,3.410448068164797
-85,-43,3.4037356763617908
-85,-42,3.383403101728277
-85,-41,3.34885845847559
-85,-40,3.2990961443234426
-85,-39,3.2326675671930047
-85,-38,3.2990961443234568
-85,-37,3.34885845847559
-85,-36,3.383403101728277
-85,-35,3.4037356763617908
-85,-34,3.410448068164797
-85,-33,3.4037356763617908
-85,-32,3.383403101728277
-85,-31,3.34885845847559
-85,-30,3.2990961443234426
-85,-29,3.2326675671930047
-85,-28,3.2990961443234568
-85,-27,3.34885845847559
-85,-26,3.383403101728277
-85,-25,3.4037356763617908
-85,-24,3.410448068164797
-85,-23,3.4037356763617908
-85,-22,3.383403101728277
-85,-21,3.34885845847559
-85,-20,3.2990961443234568
-85,-19,3.2326675671930047
-85,-18,3.2261403317061195
-85,-17,3.2008230732417076
-85,-16,3.1559788007515124
-85,-15,3.0903020874478244
-85,-14,3.001881069538186
-85,-13,2.8881417914433314
-85,-12,2.745773277375392
-85,-11,2.5706311480933266
-85,-10,2.357616977097564
-85,-9,2.1005298742958587
-85,-8,3.340606154972221
-85,-7,4.56522453835106
-85,-6,5.810033939078451
-85,-5,7.111271036824874
-85,-4,8.506815134123627
-85,-3,10.037290831327411
-85,-2,11.74725061779779
-85,-1,13.686471804820783
-85,0,15.911405554255694
-85,1,18.486820184464506
-85,2,15.907364270174853
-85,3,13.678271593976945
-85,4,11.734652770221786
-85,5,10.019928620862771
-85,6,8.484183142946051
-85,7,7.082710442616573
-85,8,5.774713336563252
-85,9,4.522115736901313
-85,10,3.288454247749783
-85,11,2.0378167076339366
-85,12,2.305465069875126
-85,13,2.527522346643593
-85,14,2.710452674860207
-85,15,2.8595811972350162
-85,16,2.979249078360624
-85,17,3.072939876983213
-85,18,3.1433809531755372
-85,19,3.1926228623978403
-85,20,3.222099047625278
-85,21,3.2326675671930047
-85,22,3.2990961443234426
-85,23,3.34885845847559
-85,24,3.383403101728277
-85,25,3.4037356763617908
-85,26,3.410448068164797
-85,27,3.4037356763617908
-85,28,3.383403101728277
-85,29,3.34885845847559
-85,30,3.2990961443234426
-85,31,3.2326675671930047
-85,32,3.2990961443234568
-85,33,3.34885845847559
-85,34,3.383403101728277
-85,35,3.4037356763617908
-85,36,3.410448068164797
-85,37,3.4037356763617908
-85,38,3.383403101728277
-85,39,3.34885845847559
-85,40,3.2990961443234426
-85,41,3.2326675671930047
-85,42,3.2990961443234568
-85,43,3.34885845847559
-85,44,3.383403101728277
-85,45,3.4037356763617908
-85,46,3.410448068164797
-85,47,3.4037356763617908
-85,48,3.383403101728277
-85,49,3.34885845847559
-85,50,3.2990961443234426
-85,51,3.2326675671930047
-85,52,3.2990961443234568
-85,53,3.34885845847559
-85,54,3.383403101728277
-85,55,3.4037356763617908
-85,56,3.410448068164797
-85,57,3.4037356763617908
-85,58,3.383403101728277
-85,59,3.34885845847559
-85,60,3.2990961443234568
-85,61,3.2326675671930047
-85,62,3.2990961443234426
-85,63,3.34885845847559
-85,64,3.383403101728277
-85,65,3.4037356763617908
-85,66,3.410448068164797
-85,67,3.4037356763617908
-85,68,3.383403101728277
-85,69,3.34885845847559
-85,70,3.2990961443234426
-85,71,3.2326675671930047
-85,72,3.332779589821854
-85,73,3.417205882093711
-85,74,3.488404112232317
-85,75,3.548446876618428
-85,76,3.59908203353325
-85,77,3.6417835837033863
-85,78,3.6777945787912785
-85,79,3.7081633069065845
-85,80,3.7337738085073084
-85,81,3.75537161101488
-85,82,3.7735854312839336
-85,83,3.788945477690376
-85,84,3.8018988846156105
-84,-70,3.2133620971168426
-84,-69,3.0910632587452085
-84,-68,3.172213730031288
-84,-67,3.233004362921122
-84,-66,3.275204786315115
-84,-65,3.300043463963277
-84,-64,3.3082434553194133
-84,-63,3.300043463963277
-84,-62,3.275204786315115
-84,-61,3.233004362921122
-84,-60,3.172213730031288
-84,-59,3.0910632587452085
-84,-58,3.172213730031288
-84,-57,3.233004362921122
-84,-56,3.275204786315115
-84,-55,3.300043463963277
-84,-54,3.3082434553194133
-84,-53,3.300043463963277
-84,-52,3.275204786315115
-84,-51,3.233004362921122
-84,-50,3.172213730031288
-84,-49,3.0910632587452085
-84,-48,3.172213730031288
-84,-47,3.233004362921122
-84,-46,3.275204786315115
-84,-45,3.300043463963277
-84,-44,3.3082434553194133
-84,-43,3.300043463963277
-84,-42,3.275204786315115
-84,-41,3.233004362921122
