x,y
-3.6342344,-11.045407
-25.869625,-5.848124
11.077462,8.33661
22.21374,-9.295082
-18.014904,20.518658
-3.6465948,-10.863412
19.48988,-6.0411096
-7.0268955,-2.065428
-20.97545,-3.5508208
-8.565174,-1.5357759
-3.1079812,-10.737447
-4.5161967,-10.805877
-3.61289,-10.942711
-3.5702646,-11.701144
-4.5846033,-13.697126
10.786058,7.9754624
21.923468,-9.633547
-26.01939,-6.112788
-26.104889,-6.3140435
-25.073654,-6.8890405
-26.279716,-6.0227933
-27.252476,-5.975215
-25.16643,-4.6482973
10.822844,8.12047
21.971655,-9.437554
11.355074,9.590596
22.762344,-8.571467
10.22478,8.762695
21.587519,-8.813398
10.667611,8.499859
21.960154,-9.13104
12.671231,8.623975
23.690601,-9.838583
7.4700155,5.0344596
-18.239208,20.571798
-18.496813,20.880337
-18.516132,19.415173
-18.165167,20.617664
-17.57398,21.124063
-17.020523,20.29227
-7.115602,-2.2780225
-20.805017,-3.8232927
-8.682166,-1.8975264
19.707022,-6.306961
-4.116927,-4.936515
-3.1583407,-10.482458
19.252546,-6.256301
-4.531475,-10.598869
-3.6317048,-10.640049
-3.5923185,-11.656323
-4.5844564,-13.505582
19.322454,-6.1991725
19.80254,-5.759136
14.360264,2.0243762
10.673575,7.45258
21.618237,-10.54071
15.281107,2.6632218
-6.390313,-2.5945396
-20.968988,-4.0715966
-8.821412,-2.0814517
-7.1409845,-2.1730235
-7.0864363,-1.7119294
-20.033985,-4.2666135
-8.108168,-1.6847231
-20.735964,-3.7502337
-8.745909,-1.7297472
-20.43583,-3.1463108
-8.755186,-1.1804283
-21.837078,-3.0048616
-3.9038503,-9.279251
-3.093404,-10.582086
-3.0171905,-11.509651
-4.566181,-13.384745
-4.511756,-10.662674
-4.55713,-11.437068
-5.3111067,-13.68114
-3.5200322,-11.732613
-4.205979,-13.588133
-4.454643,-14.219889
11.117037,9.510118
22.64655,-8.638645
9.763617,8.39986
21.164541,-9.308019
10.214764,8.096318
21.48565,-9.544874
12.5241995,7.974971
23.381968,-10.381673
7.3855286,5.373209
-26.307425,-6.71131
-25.263472,-7.293239
-26.323183,-6.2505164
-27.451073,-6.3245354
-25.302944,-4.8905993
-25.549221,-7.579759
-26.486162,-6.659932
-27.328283,-6.6858025
-25.486423,-4.809465
-25.379625,-7.307655
-26.730175,-7.7850614
-24.56938,-5.567249
-27.533773,-6.304996
-25.542738,-4.826654
-26.783985,-4.4049034
11.117369,9.532285
22.567518,-8.529253
9.827603,8.576917
21.248436,-8.885778
10.280448,8.262888
21.5664,-9.269815
12.471418,8.3153
23.449282,-10.056598
7.36253,5.319337
10.480665,9.834834
22.158825,-8.034074
11.047989,10.073498
22.773794,-8.09501
12.8646,9.578316
24.239672,-9.158677
7.693527,4.394134
9.678816,8.949163
21.229658,-8.653448
13.247744,8.562116
24.220488,-10.16463
7.156267,5.106605
12.816411,8.635272
23.805265,-9.860114
6.881033,4.7823567
8.917748,5.2539124
-18.844248,21.035662
-18.827276,19.500895
-18.647833,20.693275
-17.61668,21.361776
-16.991753,20.309452
-18.65423,18.4442
-18.756746,21.111084
-17.922522,21.536167
-16.460176,20.22714
-18.78692,19.42027
-18.066181,19.39286
-17.290567,19.122215
-17.496641,21.526361
-16.96404,20.446522
-16.620396,21.133986
3.6719,1.0723413
-5.5978603,-5.1920733
-5.7028155,-3.3843148
-20.890446,-4.381278
-8.782738,-2.3701267
19.56865,-6.578924
-7.2218575,-2.4631152
-7.166509,-1.8144987
-20.018467,-4.4569054
-8.199829,-2.1611643
-20.700886,-3.9816334
-8.898993,-2.118595
-20.304695,-3.190961
-8.907928,-1.3122982
-21.740316,-3.097431
19.638262,-6.5179586
20.015867,-5.90451
14.4047165,2.0011423
11.218306,9.148472
21.910074,-10.620055
15.301866,2.650156
13.753953,2.3798084
18.005896,-6.398012
-4.13142,-4.908579
-4.2538795,-5.945009
-4.2132754,-4.7006726
-3.1409688,-10.23585
-2.925034,-11.418379
-4.6294694,-13.197614
19.727303,-5.830065
14.265798,2.039562
9.630627,7.74808
21.043167,-10.383358
15.159489,2.5876806
-4.526542,-10.357942
-4.639018,-11.354706
-5.3491488,-13.481714
-3.5105796,-11.718535
-4.139545,-13.441738
-4.427862,-14.206824
19.759623,-5.809257
14.289779,2.0372128
10.199401,7.522321
21.359253,-10.46272
15.200284,2.6344523
14.480693,1.9530356
12.229197,7.5765047
23.04584,-10.894589
7.8018684,6.340005
15.34212,2.6739783
-6.134157,-2.7797759
-6.472584,-2.3673892
-5.967519,-5.13463
-20.012972,-4.963881
-7.9950724,-2.5679746
-20.849665,-4.317059
-8.941958,-2.2077277
-20.353203,-3.2366076
-9.095736,-1.5057049
-21.844652,-3.142995
-7.200866,-1.7122673
-19.98424,-4.3708735
-8.166129,-1.8484681
-19.793337,-3.7669625
-8.249754,-1.2090453
-21.958265,-3.3272567
-20.273254,-3.1494758
-8.938511,-1.2620608
-21.660818,-3.03416
-21.717766,-2.5668998
-3.8678558,-8.812563
-3.9561214,-9.609675
-5.428276,-12.621803
-2.9320352,-11.533006
-4.1840744,-13.346834
-4.3476677,-14.166298
-4.588059,-11.427586
-5.295546,-13.570651
-5.1610723,-14.199507
-4.13173,-14.161762
10.192802,9.836804
21.998856,-8.06647
10.809999,10.159617
22.763117,-8.048939
12.700704,9.573549
24.12672,-9.159228
7.685125,4.4542313
9.288361,8.657592
20.78723,-9.164664
13.142863,7.9865017
23.915024,-10.601731
6.9898515,5.538596
12.671194,7.997137
23.463999,-10.352742
6.682657,5.107209
8.809027,5.3999395
-25.650259,-7.9158278
-26.503279,-6.873273
-27.50296,-6.982382
-25.670305,-5.1357975
-25.445227,-7.569971
-26.840267,-7.908822
-24.654419,-5.8608785
-27.749804,-6.5514374
-25.630445,-5.1535497
-27.014238,-4.5694065
-25.776701,-7.8772817
-26.675488,-7.958406
-24.637184,-5.9001093
-27.596888,-6.958772
-25.947157,-5.097753
-26.999369,-4.5394983
-26.989456,-7.871813
-24.73517,-5.925402
-26.62582,-4.1875052
-27.08833,-4.6277366
21.27754,-7.0134935
10.178317,9.868226
21.924685,-7.9383245
10.797095,10.174334
22.624283,-7.9073205
12.699096,9.560208
24.107985,-9.131822
7.651498,4.426593
9.128826,8.831255
20.724775,-8.74637
13.212913,8.284421
24.0879,-10.398163
6.946516,5.4945917
12.584041,8.392308
23.539404,-10.0017605
6.662856,5.025505
8.818176,5.380801
10.225808,10.228047
22.204445,-7.6447306
13.20496,9.579942
24.605593,-9.349473
7.506819,4.2773705
12.958391,9.702426
24.390888,-9.07798
7.307672,4.2089515
9.226519,5.05921
13.405008,8.601833
24.4057,-10.166979
6.6060815,4.863929
8.972566,5.275446
8.996185,5.249608
-19.026758,17.918888
-19.067263,21.149498
-18.13712,21.797636
-16.342768,20.14852
-19.134586,19.668606
-18.242258,19.473843
-17.289423,19.05317
-17.528763,21.896452
-17.076212,20.51641
-16.601511,21.321295
-4.0371423,-6.0142865
-18.927515,18.335606
-18.421865,18.503475
-17.759642,18.339888
-17.968365,21.90902
-16.3111,20.341877
-16.300604,21.104898
-18.196976,19.41836
-17.310925,19.063145
-17.00439,19.254622
-16.592194,21.443228
13.513893,2.5534103
3.664196,1.0667368
3.6467566,1.0513881
3.6478088,1.0525681
3.6894462,1.0906582
3.6339698,1.0407488
