1,2,3,4,5,6,7,8,9,10,11,start,end,code,biao
3,6,9,11,13,15,19,21,24,27,30,0,-22.5,t9m6tgki,1
3,6,9,11,13,15,17,21,24,27,33,0,-22,d5t88opp,1
3,6,9,11,13,15,18,21,25,27,33,0,-21,2ygzmnz9,1
3,6,9,11,13,15,19,21,24,27,30,0,-20,3di9vioo,1
3,6,9,11,13,15,17,21,24,27,35,0,-19,s9ck61wv,1
3,6,9,11,13,15,17,21,24,27,31,0,-19,5ts6tpzo,1
3,6,9,11,13,15,17,21,24,27,35,0,-18,1bfi45o2,1
3,6,9,11,13,15,17,21,24,27,33,0,-18,v26mzb6c,1
3,6,9,11,13,15,18,21,24,27,34,0,-17.5,dot3hb5e,1
3,6,9,11,13,15,17,21,24,27,30,0,-17,kibuds7n,1
3,6,9,11,13,15,18,21,24,27,30,0,-17,3o1v9r1m,1
3,6,9,11,13,15,19,21,24,27,33,0,-14,kesgwead,1
3,6,9,11,13,15,18,21,24,27,33,0,-13.5,bdec0ba1,1
3,6,9,11,13,15,19,21,23,27,34,0,-13.5,1o1f1gpp,1
3,6,9,11,13,15,18,21,23,27,35,0,-11,1gblxsq7,1
3,6,9,11,13,15,18,21,24,27,34,0,-10,z668vjdm,1
3,6,9,11,13,15,18,21,23,27,33,0,-8,idw6uw5h,1
3,6,9,11,13,15,18,21,24,27,31,0,-7,kgm6ppuo,1
3,6,9,11,13,15,17,21,24,27,30,0,-7,c7k2ws0c,1
3,6,9,11,13,15,17,21,24,27,31,0,-5,keqepf0m,1
3,6,9,11,13,15,18,21,23,27,33,0,-5,4qo41x6y,1
3,6,9,11,13,15,17,21,24,27,31,0,-4,0jkf3488,1
3,6,9,11,13,15,19,21,23,27,33,0,4,y5lufa6m,1
3,6,9,11,13,15,17,21,23,27,32,0,5,4alcifnr,1
3,6,9,11,13,15,18,21,23,27,33,0,6.5,ktiz1h1g,1
3,6,9,11,13,15,17,21,26,27,34,0,-52,0ff2742h,1
3,6,9,11,13,15,19,21,26,27,29,0,-49,szjrd90v,1
3,6,9,11,13,15,20,21,25,27,31,0,-45,t7uhl32a,1
3,6,9,11,13,15,17,21,26,27,35,0,-44.5,lrqw3xla,1
3,6,9,11,13,15,18,21,26,27,35,0,-44,kd4ugm89,1
3,6,9,11,13,15,19,21,25,27,35,0,-36,g004gng8,1
3,6,9,11,13,15,18,21,25,27,31,0,-36,c3206739,1
3,6,9,11,13,15,20,21,25,27,34,0,-32,8yww2xfk,1
3,6,9,11,13,15,20,21,24,27,30,0,-30.5,x6n7t8hs,1
3,6,9,11,13,15,18,21,25,27,34,0,-24.5,0xxgoaz8,1
3,6,9,11,13,15,19,21,25,27,33,0,-24,przvq4kq,1
3,6,9,11,13,15,18,21,24,27,31,0,-24,7vz4x7mn,1
3,6,9,11,13,15,18,21,24,27,31,0,-19,6ac48e1h,1
3,6,9,11,13,15,18,21,25,27,35,0,-19,6gir6eim,1
3,6,9,11,13,15,18,21,24,27,35,0,-18,j4rjykeb,1
3,6,9,11,13,15,17,21,25,27,35,0,-17,pr11yrv8,1
3,6,9,11,13,15,18,21,24,27,32,0,-15,g91ye1x3,1
3,6,9,11,13,15,18,21,24,27,35,0,-15,0x4d1g7c,1
3,6,9,11,13,15,17,21,24,27,30,0,-14.5,4hjk8ew7,1
3,6,9,11,13,15,20,21,24,27,29,0,-14,awima2e6,1
3,6,9,11,13,15,17,21,24,27,34,0,-14,uefnt3zt,1
3,6,9,11,13,15,18,21,24,27,32,0,-10.5,96b2y1fq,1
3,6,9,11,13,15,17,21,24,27,31,0,-10,g7uoijja,1
3,6,9,11,13,15,18,21,24,27,35,0,-9.5,itjzqni7,1
3,6,9,11,13,15,18,21,24,27,33,0,-9.5,gxr64i8r,1
3,6,9,11,13,15,19,21,24,27,34,0,-9,d6harnae,1
3,6,9,11,13,15,17,21,25,27,35,0,-9,plvgf0eg,1
3,6,9,11,13,15,18,21,24,27,35,0,-8,zm1faos5,1
3,6,9,11,13,15,18,21,24,27,33,0,-8,5kipyxnx,1
3,6,9,11,13,15,17,21,24,27,33,0,-7,5ie1bpu4,1
3,6,9,11,13,15,18,21,24,27,35,0,-6,vnykm72k,1
3,6,9,11,13,15,18,21,24,27,33,0,-3,4de7ayta,1
3,6,9,11,13,15,17,21,24,27,35,0,-2,3j49d97z,1
3,6,9,11,13,15,17,21,24,27,35,0,1,mzj836b0,1
3,6,9,11,13,15,17,21,24,27,35,0,1,ssewy7zs,1
3,6,9,11,13,15,17,21,24,27,35,0,1,qctopukw,1
3,6,9,11,13,15,19,21,23,27,35,0,1,jwxxxv7d,1
3,6,9,11,13,15,18,21,24,27,34,0,1,cfdf5lmg,1
3,6,9,11,13,15,17,21,24,27,33,0,2,51cbn7o1,1
3,6,9,11,13,15,20,21,23,27,33,0,3,rjsd3agm,1
3,6,9,11,13,15,18,21,23,27,30,0,5.5,sqfmjhqp,1
3,6,9,11,13,15,17,21,24,27,35,0,6,48l4ehb6,1
3,6,9,11,13,15,17,21,23,27,32,0,8,nq2n4d1a,1
3,6,9,11,13,15,18,21,23,27,34,0,8,iuanzkch,1
3,6,9,11,13,15,17,21,23,27,31,0,14,uabw3inx,1
3,6,9,11,13,15,17,21,26,27,35,0,-47,cclaxe7w,1
3,6,9,11,13,15,18,21,26,27,30,0,-43.5,p1dzzr2s,1
3,6,9,11,13,15,18,21,26,27,35,0,-38,tzn75yhk,1
3,6,9,11,13,15,20,21,25,27,31,0,-37,iuy2mq1n,1
3,6,9,11,13,15,19,21,25,27,30,0,-37,ag8yu9h7,1
3,6,9,11,13,15,19,21,25,27,31,0,-36,xluifzfl,1
3,6,9,11,13,15,17,21,26,27,34,0,-31,9jhn3kb4,1
3,6,9,11,13,15,19,21,25,27,35,0,-28.5,hdp578ga,1
3,6,9,11,13,15,20,21,24,27,30,0,-26.5,nil7z8nt,1
3,6,9,11,13,15,20,21,24,27,34,0,-26,8nmazok9,1
3,6,9,11,13,15,17,21,25,27,29,0,-21.5,hq6lddx8,1
3,6,9,11,13,15,18,21,25,27,30,0,-20.5,x6cv314a,1
3,6,9,11,13,15,18,21,24,27,31,0,-17,zca7zxyf,1
3,6,9,11,13,15,19,21,24,27,32,0,-15,k1bp6zpx,1
3,6,9,11,13,15,18,21,24,27,35,0,-15,x6zxi4xg,1
3,6,9,11,13,15,17,21,24,27,35,0,-14,qslltb0b,1
3,6,9,11,13,15,17,21,24,27,35,0,-13,jj25twuw,1
3,6,9,11,13,15,17,21,24,27,31,0,-12,rfnis2ed,1
3,6,9,11,13,15,19,21,24,27,35,0,-11.5,1csmmf08,1
3,6,9,11,13,15,18,21,24,27,33,0,-11,yofqpucq,1
3,6,9,11,13,15,18,21,24,27,35,0,-9,vywegvat,1
3,6,9,11,13,15,17,21,24,27,35,0,-8,l50to787,1
3,6,9,11,13,15,17,21,24,27,32,0,-6,h3fu78yg,1
3,6,9,11,13,15,19,21,23,27,35,0,-6,z2rsp6um,1
3,6,9,11,13,15,17,21,24,27,35,0,-5.5,apblb506,1
3,6,9,11,13,15,17,21,24,27,31,0,-4,68araqh7,1
3,6,9,11,13,15,17,21,24,27,33,0,-4,4wv5tk4v,1
3,6,9,11,13,15,17,21,24,27,30,0,-4,zyy7lwna,1
3,6,9,11,13,15,18,21,23,27,33,0,-2.5,mykpue2n,1
3,6,9,11,13,15,17,21,24,27,34,0,4,s1ftoyto,1
3,6,9,11,13,15,17,21,23,27,35,0,8,n580gnmu,1
3,6,9,11,13,15,17,21,23,27,34,0,13.5,2be0jkh2,1
3,6,9,11,13,15,17,21,23,27,30,0,14,wc6s9dsl,1
3,6,9,11,13,15,17,21,23,27,34,0,14,0005b37f,1
3,6,9,11,13,15,17,21,23,27,33,0,19,7rmwik5s,1
3,6,10,11,14,16,17,21,26,27,35,0,-34.08,42bbeqpm,1
3,6,10,12,14,16,17,21,25,27,35,0,-25.87,ds12f176,1
