code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit,cash_before_patience,patience_profit,realend,realprofit
drsd3gfr,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,6,16,1,5,-143.8,-124.8,19,-129.8,5,-124.8,19
0nu0s221,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,6,16,0,5,-137.6,-131.6,6,-136.6,5,-131.6,6
mdt16lqz,10,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,4,1.2,1,0,26.93,0,-26.93,-16.87,0,-16.87,-43.8
przvq4kq,10,0,0,1,-5,0,0,1,8.09,1,-1.08,0,0,1,-2.05,1,-0.5,0,0,0,0,2,4.8,1,6,18.49,28.75,10.26,22.75,6,28.75,10.26
c1h7bw1a,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,0,2,1,0,-148.61,0,148.61,-176.61,0,-176.61,-28
51cbn7o1,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,4,1.2,1,0,-102.37,0,102.37,-126.17,0,-126.17,-23.8
h3fu78yg,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,6,0,1,0,-71.9,0,71.9,-104.9,0,-104.9,-33
gn1bxo37,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,0,1,0,-98.8,0,98.8,-95.8,0,-95.8,3
qdpt3asx,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,2,1.6,1,0,-113.9,0,113.9,-121.3,0,-121.3,-7.4
lrqw3xla,10,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-15,1,-15,4,1.2,1,0,-117.4,0,117.4,-176.2,0,-176.2,-58.8
4alcifnr,10,0,3,0,0,0,0,1,6.58,1,0.6,1,5,1,-2.533,1,-0.1,0,0,0,0,5,0.8,0,4.2,10.15,27.7,17.55,23.5,4.2,27.7,17.55
itjzqni7,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,1,1.8,1,0,-8.1,0,8.1,-36.3,0,-36.3,-28.2
zm1faos5,10,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,6,0,1,0,-31.21,0,31.21,-66.21,0,-66.21,-35
u1m4seev,10,1,12,1,-5,0,0,0,0,1,3,1,-7.5,1,-17.725,1,-1,0,0,1,-7,6,8,0,5,174.75,164.53,-10.22,159.53,5,164.53,-10.22
48l4ehb6,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,8,1,0,-98.99,0,98.99,-105.99,0,-105.99,-7
dqtauj4v,10,0,6,1,-5,0,0,0,0,1,1,1,14,1,-5.511,1,-3,0,0,1,-7,4,1.2,0,4.4,39.11,45.2,6.09,40.8,4.4,45.2,6.09
8uqq7nj7,10,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,6,0,1,0,-131.6,0,131.6,-192.6,0,-192.6,-61
l50to787,10,0,18,1,-5,0,0,0,0,1,26.56,1,-10,1,-19.361,1,-1,0,0,2,-21,6,0,0,11.2,164.05,163.45,-0.6,152.25,11.2,163.45,-0.6
1pxzy631,10,0,6,1,-5,1,-10,1,25.98,1,14.55,1,25,1,-13.739,0,0,0,0,0,0,4,1.2,1,0,80.86,123.85,42.99,124.85,0,124.85,43.99
fxz8rqvu,10,0,21,1,-5,1,-24.45,1,13.09,1,9,1,60,1,-14.753,0,0,0,0,3,-35,6,0,1,5.6,73.89,103.38,29.49,97.78,5.6,103.38,29.49
drsd3gfr,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,4,6,1,0,-124.8,0,124.8,-132.8,0,-132.8,-8
0nu0s221,10,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,3,-50,1,1.8,1,0,-131.6,0,131.6,-192.8,0,-192.8,-61.2
mdt16lqz,11,0,9,0,0,0,0,1,5.4,1,-0.15,1,-3,1,-1.125,0,0,0,0,2,-30,4,3,1,0,0,-16.87,-16.87,-16.87,0,-16.87,-16.87
przvq4kq,11,0,6,1,-5,0,0,1,3.61,1,3.34,0,0,1,-3.67,1,-0.5,0,0,0,0,6,0,1,6.8,28.75,39.33,10.58,32.53,6.8,39.33,10.58
c1h7bw1a,11,0,12,1,-5,0,0,0,0,1,0.9,1,0,1,-0.79,1,-1,0,0,1,-7,1,9.5,1,5.8,0,14.41,14.41,8.61,5.8,14.41,14.41
51cbn7o1,11,0,6,0,0,0,0,1,1.8,1,-0.1,1,-1,1,-0.67,0,0,0,0,1,-15,4,3,0,5,0,-0.97,-0.97,-5.97,5,-0.97,-0.97
h3fu78yg,11,0,6,1,-5,0,0,1,0.6,1,0.06,1,0.3,1,-0.196,0,0,0,0,1,-7,1,9.5,1,6.2,0,10.46,10.46,4.26,6.2,10.46,10.46
gn1bxo37,11,0,12,1,-5,0,0,0,0,1,0.1,1,-2,1,-0.51,0,0,0,0,3,-35,6,20,1,5.8,0,-4.61,-4.61,-10.41,5.8,-4.61,-4.61
qdpt3asx,11,0,15,1,-5,0,0,1,0.2,1,0.6,1,-5,1,-0.58,0,0,0,0,1,-7,2,12,1,5.2,0,15.42,15.42,10.22,5.2,15.42,15.42
lrqw3xla,11,0,12,1,-5,0,0,1,0.28,1,0.9,1,-4,1,-0.418,1,-2,0,0,1,-7,3,3.5,1,6.4,0,4.66,4.66,-1.74,6.4,4.66,4.66
4alcifnr,11,0,12,1,-5,1,-7.238,0,0,1,0.15,1,2,1,-2.9612,1,-0.1,0,0,1,-7,4,3,1,6.8,27.7,29.35,1.65,22.55,6.8,29.35,1.65
itjzqni7,11,0,15,1,-5,0,0,1,1,1,0.55,1,9,1,-2.055,1,-1,0,0,1,-7,2,12,0,5,0,27.5,27.5,22.5,5,27.5,27.5
zm1faos5,11,0,18,1,-5,0,0,1,6.5,1,2.25,1,-7.5,1,-1.425,0,0,0,0,1,-7,6,20,1,5.8,0,31.63,31.63,25.83,5.8,31.63,31.63
u1m4seev,11,0,21,1,-5,0,0,0,0,1,3,1,0,1,-18.353,1,-1,0,0,1,-7,6,0,1,6.6,164.53,163.78,-0.75,157.18,6.6,163.78,-0.75
48l4ehb6,11,0,9,1,-5,0,0,1,0.16,1,0.42,1,2.29,1,-0.687,0,0,0,0,1,-7,1,4.5,1,6.8,0,10.48,10.48,3.68,6.8,10.48,10.48
dqtauj4v,11,0,12,1,-5,0,0,0,0,1,2.7,1,-13,1,-4.19,1,-2,0,0,2,-21,6,0,1,6.4,45.2,21.11,-24.09,14.71,6.4,21.11,-24.09
8uqq7nj7,11,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,0,1,6.2,0,-39.8,-39.8,-46,6.2,-39.8,-39.8
l50to787,11,0,21,1,-5,0,0,0,0,1,26.92,1,-10,1,-19.637,1,-1,0,0,3,-35,4,3,1,0,163.45,143.73,-19.72,143.73,0,143.73,-19.72
1pxzy631,11,0,12,1,-5,1,-40.359,0,0,1,4.5,1,25,1,-11.9991,0,0,0,0,2,-21,6,20,1,6.6,123.85,113.59,-10.26,106.99,6.6,113.59,-10.26
fxz8rqvu,11,0,-30,1,-5,1,-14.399,0,0,1,7.5,1,-15,1,-4.6481,0,0,0,0,0,0,6,20,1,6.4,103.38,68.23,-35.15,61.83,6.4,68.23,-35.15
drsd3gfr,11,0,9,1,-5,0,0,1,0.08,1,0.11,1,1.79,1,-0.598,1,-1,0,0,1,-7,2,4,1,0,0,1.38,1.38,1.38,0,1.38,1.38
0nu0s221,11,0,6,1,-5,0,0,1,0.03,1,0.05,1,0.5,1,-0.158,0,0,0,0,3,-35,6,20,0,10.2,0,-3.38,-3.38,-13.58,10.2,-3.38,-3.38
mdt16lqz,12,0,6,0,0,1,-5.94,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,2,3.2,0,11.6,-16.87,-48.01,-31.14,-59.61,11.6,-48.01,-31.14
przvq4kq,12,0,12,1,-5,0,0,1,5.78,1,7.82,0,0,1,-5.993,1,-1,0,0,2,-21,6,16,0,11.6,39.33,59.54,20.21,47.94,11.6,59.54,20.21
c1h7bw1a,12,0,15,1,-5,0,0,0,0,1,3,1,-3.5,1,-2.391,1,-1,0,0,3,-35,2,9.6,1,6.8,14.41,1.92,-12.49,-4.88,6.8,1.92,-12.49
51cbn7o1,12,0,6,0,0,0,0,0,0,1,-0.1,1,2,1,-0.693,1,-1,0,0,0,0,4,2.4,0,5,-0.97,12.64,13.61,7.64,5,12.64,13.61
h3fu78yg,12,0,9,1,-5,1,-0.66,1,2.76,1,0.98,1,0,1,-1.754,1,-1,0,0,2,-21,1,7.6,1,6.2,10.46,7.59,-2.87,1.39,6.2,7.59,-2.87
gn1bxo37,12,0,21,1,-5,0,0,1,0.57,1,0.75,1,1,1,-1.371,0,0,0,0,1,-7,4,12,1,7,-4.61,24.34,28.95,17.34,7,24.34,28.95
qdpt3asx,12,0,15,1,-5,1,-0.22,1,1.01,1,0.8,1,22.5,1,-4.951,0,0,0,0,1,-7,2,3.2,1,5.4,15.42,46.16,30.74,40.76,5.4,46.16,30.74
lrqw3xla,12,0,18,1,-5,1,-0.308,0,0,1,1.1,1,-8.45,1,-1.0002,0,0,0,0,0,0,2,9.6,1,6.8,4.66,25.4,20.74,18.6,6.8,25.4,20.74
4alcifnr,12,0,9,1,-5,0,0,0,0,1,0.3,1,7.5,1,-4.115,1,-0.04,0,0,3,-35,0,4,1,5.2,29.35,11.2,-18.15,6,5.2,11.2,-18.15
itjzqni7,12,0,18,1,-5,0,0,1,3.94,1,-2,1,10,1,-5.244,1,-1,0,0,1,-7,2,3.2,0,5,27.5,47.4,19.9,42.4,5,47.4,19.9
zm1faos5,12,0,21,2,-10,0,0,1,10.64,1,4.5,1,40,1,-9.777,0,0,0,0,1,-5,6,16,1,5.2,31.63,104.19,72.56,98.99,5.2,104.19,72.56
u1m4seev,12,0,12,1,-5,0,0,0,0,1,3,1,-15,1,-15.878,1,-1,0,0,3,-35,6,0,1,6,163.78,112.9,-50.88,106.9,6,112.9,-50.88
48l4ehb6,12,0,3,1,-5,1,-0.176,1,4.98,1,-0.66,1,5,1,-1.7624,0,0,0,0,2,-21,1,3.6,1,6.2,10.48,4.66,-5.82,-1.54,6.2,4.66,-5.82
dqtauj4v,12,0,21,1,-5,1,-10,0,0,1,-0.6,1,11,1,-3.751,1,-2,0,0,1,-7,6,16,1,6,21.11,46.76,25.65,40.76,6,46.76,25.65
8uqq7nj7,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,16,1,5.8,-39.8,-30,9.8,-35.8,5.8,-30,9.8
l50to787,12,0,30,1,-5,0,0,0,0,1,-8.44,1,30,1,-19.029,1,-1,0,0,1,-7,6,16,0,11.6,143.73,190.86,47.13,179.26,11.6,190.86,47.13
1pxzy631,12,0,15,1,-5,0,0,0,0,1,18.54,1,150,1,-29.213,0,0,0,0,1,-7,5,12.8,1,6.4,113.59,275.12,161.53,268.72,6.4,275.12,161.53
fxz8rqvu,12,1,21,1,-5,0,0,0,0,1,3,1,0,1,-8.723,1,-1,0,0,0,0,6,0,1,5.6,68.23,83.11,14.88,77.51,5.6,83.11,14.88
drsd3gfr,12,0,12,1,-5,1,-0.088,1,0.83,1,0.4,1,-3,1,-0.6522,0,0,0,0,1,-7,3,2.8,1,7,1.38,8.67,7.29,1.67,7,8.67,7.29
0nu0s221,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,2,-30,6,0,0,5,-3.38,-33.38,-30,-38.38,5,-33.38,-30
mdt16lqz,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,4,3.6,1,0,-48.01,-66.41,-18.4,-66.41,0,-66.41,-18.4
przvq4kq,13,0,9,1,-5,0,0,1,3.74,1,6.73,0,0,1,-7.401,1,-1,0,0,0,0,4,3.6,1,0,59.54,69.21,9.67,69.21,0,69.21,9.67
c1h7bw1a,13,0,12,1,-5,0,0,0,0,1,0.8,1,4.5,1,-1.422,1,-1,0,0,3,-35,1,11.4,0,10.4,1.92,-1.4,-3.32,-11.8,10.4,-1.4,-3.32
51cbn7o1,13,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,4,18,0,5,12.64,-15.36,-28,-20.36,5,-15.36,-28
h3fu78yg,13,0,6,1,-5,1,-3.036,1,1.11,1,0.08,1,1.5,1,-0.8244,0,0,0,0,1,-7,1,5.4,1,5.6,7.59,11.42,3.83,5.82,5.6,11.42,3.83
gn1bxo37,13,0,24,1,-5,1,-0.627,1,8.54,1,6,1,5,1,-6.2253,1,79,0,0,0,0,6,0,1,6.8,24.34,141.83,117.49,135.03,6.8,141.83,117.49
qdpt3asx,13,0,9,1,-5,1,-1.11,1,2.45,1,-0.5,1,-7.5,1,-4.35,0,0,0,0,3,-35,2,4.8,1,5.2,46.16,14.15,-32.01,8.95,5.2,14.15,-32.01
lrqw3xla,13,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-15,1,-15,2,4.8,1,7,25.4,-22.8,-48.2,-29.8,7,-22.8,-48.2
4alcifnr,13,0,15,1,-5,0,0,0,0,1,0.75,1,32.93,1,-5.488,1,-0.3,0,0,0,0,4,3.6,1,5.8,11.2,58.49,47.29,52.69,5.8,58.49,47.29
itjzqni7,13,0,12,1,-5,1,-5.54,1,9.77,1,-2.5,1,0,1,-5.613,1,-1,0,0,3,-35,2,14.4,0,5,47.4,33.92,-13.48,28.92,5,33.92,-13.48
zm1faos5,13,0,24,2,-10,1,-10,1,29.59,1,9,1,30,1,-17.678,0,0,0,0,2,-15,6,0,1,6.6,104.19,150.7,46.51,144.1,6.6,150.7,46.51
u1m4seev,13,0,-30,1,-5,0,0,0,0,1,-1,1,0,1,-7.69,1,-2,0,0,3,-35,6,24,1,6,112.9,62.21,-50.69,56.21,6,62.21,-50.69
48l4ehb6,13,0,3,1,-5,0,0,0,0,1,0.3,1,0.75,1,-0.371,0,0,0,0,1,-7,0,6,1,5.2,4.66,7.54,2.88,2.34,5.2,7.54,2.88
dqtauj4v,13,0,-30,1,-5,0,0,0,0,1,1.65,1,-6.5,1,-0.691,1,-3,0,0,1,-7,6,24,1,6,46.76,26.22,-20.54,20.22,6,26.22,-20.54
8uqq7nj7,13,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,24,1,5.4,-30,0.4,30.4,-5,5.4,0.4,30.4
l50to787,13,0,12,1,-5,0,0,0,0,1,29.68,1,0,1,-22.754,1,-2,0,0,0,0,6,24,0,5,190.86,231.79,40.93,226.79,5,231.79,40.93
1pxzy631,13,0,12,1,-5,0,0,0,0,1,14.11,1,-100,1,-19.623,0,0,0,0,1,-7,5,2.4,0,12,275.12,184.01,-91.11,172.01,12,184.01,-91.11
fxz8rqvu,13,0,27,1,-5,0,0,1,31.53,1,13.6,1,-60,1,-9.024,1,-1,0,0,0,0,6,24,1,6.8,83.11,111.02,27.91,104.22,6.8,111.02,27.91
drsd3gfr,13,0,-30,0,0,1,-0.91,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,6,0,1,6.2,8.67,-17.04,-25.71,-23.24,6.2,-17.04,-25.71
0nu0s221,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,0,0,6,24,0,5,-33.38,-11.38,22,-16.38,5,-11.38,22
mdt16lqz,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,4,1.8,1,5.4,-66.41,-78.21,-11.8,-83.61,5.4,-78.21,-11.8
przvq4kq,14,0,12,1,-5,0,0,1,1.33,1,11.63,0,0,1,-8.917,1,-2,0,0,1,-7,6,16,1,6.4,69.21,93.65,24.44,87.25,6.4,93.65,24.44
c1h7bw1a,14,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,1,5.7,1,0,-1.4,-51.7,-50.3,-51.7,0,-51.7,-50.3
51cbn7o1,14,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,5,1.2,0,5,-15.36,-34.16,-18.8,-39.16,5,-34.16,-18.8
h3fu78yg,14,0,6,1,-5,1,-1.22,1,2.24,1,0.5,1,0,1,-1.394,1,-2,0,0,2,-21,0,3,1,6.6,11.42,-0.85,-12.27,-7.45,6.6,-0.85,-12.27
gn1bxo37,14,0,18,2,-10,1,-9.39,1,14.04,1,-2.5,1,15,1,-16.698,1,-1,0,0,2,-15,6,16,1,5.8,141.83,156.08,14.25,150.28,5.8,156.08,14.25
qdpt3asx,14,0,18,2,-10,1,-2.695,0,0,1,1,1,15,1,-3.5455,0,0,0,0,2,-15,2,2.4,1,6.8,14.15,26.11,11.96,19.31,6.8,26.11,11.96
lrqw3xla,14,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,1,-15,4,1.8,1,5.8,-22.8,-25.2,-2.4,-31,5.8,-25.2,-2.4
4alcifnr,14,0,-30,1,-5,0,0,0,0,1,-0.17,1,1.65,1,-2.497,1,-0.1,0,0,1,-7,4,1.8,1,5.2,58.49,22.37,-36.12,17.17,5.2,22.37,-36.12
itjzqni7,14,0,18,1,-5,1,-10.747,1,7.23,1,2.17,1,10,1,-5.5573,1,-1,0,0,2,-21,1,5.7,0,5,33.92,38.71,4.79,33.71,5,38.71,4.79
zm1faos5,14,0,15,2,-10,1,-43.076,1,33.79,1,9,1,-30,1,-12.5414,0,0,0,0,0,0,6,0,1,6.2,150.7,119.07,-31.63,112.87,6.2,119.07,-31.63
u1m4seev,14,1,15,1,-5,0,0,0,0,1,3,1,15,1,-9.021,1,-2,0,0,0,0,6,16,1,6.4,62.21,101.59,39.38,95.19,6.4,101.59,39.38
48l4ehb6,14,0,9,1,-5,0,0,0,0,1,-0.4,1,-3.5,1,-0.764,0,0,0,0,0,0,2,2.4,1,6.2,7.54,15.48,7.94,9.28,6.2,15.48,7.94
dqtauj4v,14,1,18,1,-5,0,0,0,0,1,2.7,1,60,1,-10.192,1,-1,0,0,0,0,6,0,1,6.2,26.22,96.93,70.71,90.73,6.2,96.93,70.71
8uqq7nj7,14,0,12,1,-5,0,0,0,0,1,1.11,1,0,1,-0.851,1,-1,0,0,2,-21,6,0,1,5.6,0.4,-8.74,-9.14,-14.34,5.6,-8.74,-9.14
l50to787,14,0,15,1,-5,0,0,0,0,1,-12.09,1,75,1,-30.47,1,-2,0,0,0,0,6,16,0,5,231.79,293.23,61.44,288.23,5,293.23,61.44
1pxzy631,14,0,30,1,-5,0,0,0,0,1,20.9,1,200,1,-42.991,0,0,0,0,1,-7,6,0,0,5,184.01,384.92,200.91,379.92,5,384.92,200.91
fxz8rqvu,14,0,21,2,-10,1,-34.68,1,17.47,1,5,1,0,1,-10.981,1,-1,0,0,0,0,6,16,1,5.6,111.02,119.43,8.41,113.83,5.6,119.43,8.41
drsd3gfr,14,1,21,0,0,0,0,1,0.79,1,0.4,1,-1,1,-0.415,0,0,0,0,1,-15,6,16,1,6.8,-17.04,11.54,28.58,4.74,6.8,11.54,28.58
0nu0s221,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-30,6,16,0,5,-11.38,-20.38,-9,-25.38,5,-20.38,-9
mdt16lqz,15,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,8,1,6,-78.21,-58.21,20,-64.21,6,-58.21,20
przvq4kq,15,0,12,1,-5,0,0,1,9.21,1,16.48,0,0,1,-12.634,1,-2,0,0,1,-7,3,5,1,6.2,93.65,115.91,22.26,109.71,6.2,115.91,22.26
c1h7bw1a,15,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,1,1.8,1,5.6,-51.7,-81.3,-29.6,-86.9,5.6,-81.3,-29.6
51cbn7o1,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,4,1.2,1,0,-34.16,-41.96,-7.8,-41.96,0,-41.96,-7.8
h3fu78yg,15,0,6,1,-5,1,-0.05,0,0,1,0.01,1,-0.05,1,-0.006,1,-1,0,0,0,0,1,1.8,1,5.2,-0.85,6,6.85,0.8,5.2,6,6.85
gn1bxo37,15,0,24,1,-5,1,-15.44,0,0,1,7.5,1,20,1,-18.714,1,-2,0,0,1,-7,6,8,1,6.6,156.08,174.03,17.95,167.43,6.6,174.03,17.95
qdpt3asx,15,0,9,2,-10,0,0,0,0,1,1.5,1,15,1,-4.161,0,0,0,0,3,-25,2,1.6,1,6.4,26.11,20.45,-5.66,14.05,6.4,20.45,-5.66
lrqw3xla,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,2,4.8,1,5.4,-25.2,-12,13.2,-17.4,5.4,-12,13.2
4alcifnr,15,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,0,2,1,5.8,22.37,-14.83,-37.2,-20.63,5.8,-14.83,-37.2
itjzqni7,15,0,21,1,-5,1,-7.95,1,9.35,1,5.61,1,0,1,-6.172,1,-1,0,0,3,-35,2,4.8,0,5,38.71,29.35,-9.36,24.35,5,29.35,-9.36
zm1faos5,15,0,24,2,-10,1,-37.169,0,0,1,4,1,-20,1,-7.9901,0,0,0,0,1,-5,5,6.4,0,10.8,119.07,84.11,-34.96,73.31,10.8,84.11,-34.96
u1m4seev,15,0,21,1,-5,0,0,0,0,1,-1.5,1,-15,1,-10.109,1,-1,0,0,0,0,6,0,1,6.2,101.59,96.18,-5.41,89.98,6.2,96.18,-5.41
48l4ehb6,15,0,9,1,-5,0,0,1,1.08,1,1.5,1,15,1,-3.706,0,0,0,0,1,-7,0,2,0,11.2,15.48,39.55,24.07,28.35,11.2,39.55,24.07
dqtauj4v,15,0,15,1,-5,1,-38.51,1,41.05,1,2.4,1,42,1,-15.387,1,-2,0,0,1,-7,5,0.8,1,6,96.93,136.28,39.35,130.28,6,136.28,39.35
8uqq7nj7,15,0,18,1,-5,0,0,0,0,1,0.64,1,-4.9,0,0,1,-1,0,0,1,-7,6,8,1,6.8,-8.74,6.8,15.54,0,6.8,6.8,15.54
l50to787,15,0,30,1,-5,0,0,0,0,1,-15.91,1,150,1,-45.232,1,-3,0,0,0,0,6,0,0,5,293.23,409.09,115.86,404.09,5,409.09,115.86
1pxzy631,15,0,15,1,-5,0,0,0,0,1,19.75,1,10,1,-42.467,0,0,0,0,3,-35,6,0,0,5,384.92,352.2,-32.72,347.2,5,352.2,-32.72
fxz8rqvu,15,0,21,2,-10,1,-19.217,0,0,1,5,1,-100,1,-1.6213,1,-2,0,0,1,-5,6,0,1,6,119.43,13.59,-105.84,7.59,6,13.59,-105.84
drsd3gfr,15,0,9,1,-5,1,-0.869,1,2.93,1,1.5,1,-2,1,-1.7101,1,-2,0,0,1,-7,4,6,0,11.2,11.54,23.59,12.05,12.39,11.2,23.59,12.05
0nu0s221,15,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,2,-30,0,2,0,5,-20.38,-83.38,-63,-88.38,5,-83.38,-63
mdt16lqz,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,5,16,0,10.4,-58.21,-46.81,11.4,-57.21,10.4,-46.81,11.4
przvq4kq,16,0,3,1,-5,0,0,0,0,1,-5.7,0,0,1,-10.821,1,-2,0,0,1,-7,6,0,1,6.4,115.91,94.79,-21.12,88.39,6.4,94.79,-21.12
c1h7bw1a,16,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,0,5,1,6,-81.3,-126.3,-45,-132.3,6,-126.3,-45
51cbn7o1,16,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,3,-50,4,3,1,6,-41.96,-70.96,-29,-76.96,6,-70.96,-29
h3fu78yg,16,0,6,1,-5,1,-2.65,1,0.44,1,0.45,1,-1,1,-0.424,1,-1,0,0,1,-7,1,9.5,1,6,6,11.32,5.32,5.32,6,11.32,5.32
gn1bxo37,16,0,-30,1,-5,0,0,0,0,1,4.5,1,0,1,-14.353,1,-1,0,0,1,-7,4,3,1,6.2,174.03,130.38,-43.65,124.18,6.2,130.38,-43.65
qdpt3asx,16,0,12,2,-10,0,0,0,0,1,1.6,1,15,1,-3.905,0,0,0,0,3,-25,3,3.5,0,10.6,20.45,24.25,3.8,13.65,10.6,24.25,3.8
lrqw3xla,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-30,3,12.5,1,6.6,-12,-10.9,1.1,-17.5,6.6,-10.9,1.1
4alcifnr,16,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,6,20,1,6.4,-14.83,3.57,18.4,-2.83,6.4,3.57,18.4
itjzqni7,16,0,12,1,-5,1,-10.285,0,0,1,1,1,10,1,-3.7065,1,-1,0,0,1,-7,2,12,0,5,29.35,42.35,13,37.35,5,42.35,13
zm1faos5,16,0,21,2,-10,0,0,1,19.02,1,2.5,1,-40,1,-7.663,0,0,0,0,1,-5,6,20,0,5,84.11,88.97,4.86,83.97,5,88.97,4.86
u1m4seev,16,0,15,1,-5,0,0,0,0,1,-1.5,1,7.5,1,-11.218,1,-1,0,0,1,-7,6,0,1,6,96.18,98.96,2.78,92.96,6,98.96,2.78
48l4ehb6,16,0,6,1,-5,0,0,1,10.76,1,1.75,1,0,1,-5.306,0,0,0,0,1,-7,1,4.5,1,0,39.55,45.25,5.7,45.25,0,45.25,5.7
dqtauj4v,16,0,9,1,-5,1,-45.155,1,47.56,1,2.25,1,-38,1,-10.6935,1,-2,0,0,0,0,6,20,1,5.8,136.28,120.04,-16.24,114.24,5.8,120.04,-16.24
8uqq7nj7,16,0,21,1,-5,0,0,0,0,1,-1.14,1,-10,1,-1.166,1,-1,0,0,1,-7,6,0,1,6,6.8,8.49,1.69,2.49,6,8.49,1.69
l50to787,16,0,27,1,-5,0,0,0,0,1,-21.55,1,150,1,-55.954,1,-5,0,0,1,-7,6,0,1,0,409.09,491.59,82.5,491.59,0,491.59,82.5
1pxzy631,16,0,9,1,-5,0,0,0,0,1,-17.81,1,25,1,-36.339,0,0,0,0,2,-21,6,20,1,0,352.2,326.05,-26.15,326.05,0,326.05,-26.15
fxz8rqvu,16,0,30,2,-10,0,0,1,20.15,1,8.06,1,30.9,1,-9.27,1,-2,0,0,0,0,6,20,0,11.2,13.59,112.63,99.04,101.43,11.2,112.63,99.04
drsd3gfr,16,0,-30,0,0,1,-3.22,0,0,0,0,0,0,0,0,0,0,0,0,3,-50,6,20,0,5,23.59,-34.63,-58.22,-39.63,5,-34.63,-58.22
0nu0s221,16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,20,1,0,-83.38,-86.38,-3,-86.38,0,-86.38,-3
mdt16lqz,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,2,-30,6,0,1,0,-46.81,-75.81,-29,-75.81,0,-75.81,-29
przvq4kq,17,0,12,1,-5,1,-20,1,1.31,1,4.16,0,0,1,-8.726,1,-2,0,0,1,-7,6,0,1,6.2,94.79,75.73,-19.06,69.53,6.2,75.73,-19.06
