code,z,t,s,r
pva278uh,1,1,0,1
s9ck61wv,1,0,0,0
7vz4x7mn,1,0,0,1
5s59rl9r,1,0,0,1
yofqpucq,1,1,0,1
3mrhtpe3,1,0,0,0
qyyocas4,1,0,0,0
rjsd3agm,1,1,0,1
v6of81mc,1,1,1,1
jj25twuw,1,0,0,1
m0rj3925,1,1,0,0
cn2055xk,1,1,0,0
3o1v9r1m,1,0,0,0
m3vk4d40,1,0,0,1
410e0tw2,1,1,0,1
jicuopmz,1,0,0,1
n1yognqv,1,0,1,1
hdp578ga,1,0,1,0
8takecva,1,0,0,1
kesgwead,1,0,0,1
x6zxi4xg,1,0,0,1
3j49d97z,1,0,0,1
jwxxxv7d,1,0,1,1
h7b871s6,1,0,0,1
szjrd90v,1,0,0,1
tkz7zh9u,1,0,0,0
42bbeqpm,1,0,0,1
1o1f1gpp,1,0,1,1
o6m81rh2,1,0,0,0
ody1m92z,1,0,0,1
y5lufa6m,1,0,1,1
odyzp5vx,1,1,0,0
d67hp72e,1,1,1,1
o73qrv2n,1,1,0,1
1qzlh5mu,1,0,0,1
dnwj15ee,1,0,0,1
3vpcaply,1,0,0,0
z0rxrnnq,1,0,0,1
hf30noug,1,0,0,1
0tv4w4i5,1,1,1,0
tg2aszys,1,1,1,1
n7vpemz2,1,0,0,1
v26mzb6c,1,0,0,1
y0q2jnsm,1,0,0,1
2ygzmnz9,1,1,0,0
bysqs2ac,0,0,0,0
xe3765ql,0,0,0,1
p1dzzr2s,1,0,0,1
g84r969y,0,0,0,0
gxr64i8r,1,0,0,0
5ts6tpzo,1,1,0,1
lxt7o6sm,1,0,0,1
c7k2ws0c,1,0,0,1
vnykm72k,1,1,0,0
oiwrp35s,0,0,1,0
d6harnae,1,0,0,1
9cikjguk,1,0,0,0
biqw1l36,1,1,0,0
n9hxv5lk,1,1,0,1
d5t88opp,1,0,0,0
a60k5i9w,1,0,0,1
hogk0jl9,0,0,0,0
vedi2q2d,0,0,0,0
4wv5tk4v,0,0,0,1
5cs0wmvl,0,0,0,0
lmp9ngf4,0,0,0,0
hhrookd2,0,0,0,0
ot3r1xw1,0,0,0,0
q5n6k41z,0,0,0,0
jbz1y5sl,0,0,0,1
1eydd0jj,0,0,0,1
5ie1bpu4,0,0,0,1
9jhn3kb4,0,0,0,0
b0je0mwr,0,0,0,0
m9hu5tku,0,0,0,1
3di9vioo,0,0,0,1
uefnt3zt,0,0,0,0
l3hb9yeg,0,0,0,1
0xxgoaz8,0,0,0,1
rv0au94i,0,0,0,1
kn4swjew,0,0,0,0
uvakwdur,0,0,0,0
dot3hb5e,0,0,0,1
f6t1qroy,0,0,0,1
jyf560kk,0,0,0,0
h78j7j8m,0,0,0,1
3zjizqly,0,0,0,1
gfrptkuf,0,0,0,1
8886ungo,0,0,0,1
zyy7lwna,0,0,0,0
gowws5qf,0,0,0,1
0h6a0xq8,0,0,0,0
unioj1gy,0,0,0,0
plvgf0eg,0,0,0,0
w3icbwph,0,0,0,0
my8o7lk6,0,0,0,0
cclaxe7w,0,0,0,1
t30mf55p,0,0,0,0
92ybpwat,0,0,0,0
cfdf5lmg,0,0,0,1
z4v1vnsp,0,0,0,1
