code,1,2,3,4,5,91
g7uoijja,0,0,0,0,0,-10
8g2iaxf0,0,0,0,0,0,-32.5
1yemb6kz,1,1,1,1,1,8.37
x6cv314a,0,0,0,0,0,-20.5
26ovv9nz,1,1,1,1,1,10.56
qrj0woux,0,0,0,0,0,-64.5
edydbr11,0,0,0,0,0,-35
i3ugntg2,0,0,0,0,0,-13.5
nil7z8nt,0,0,0,0,0,-26.5
i3wgnab9,0,0,0,0,0,-18.5
7rmwik5s,0,0,0,0,0,19
mzj836b0,0,0,0,0,0,1
1gblxsq7,0,0,0,0,0,-11
t9m6tgki,0,0,0,0,0,-22.5
4hjk8ew7,0,0,0,0,0,-14.5
luq8s82b,1,1,1,1,1,3.64
96b2y1fq,0,0,0,0,0,-10.5
iuy2mq1n,0,0,0,0,0,-37
zca7zxyf,0,0,0,0,0,-17
jj2wn94h,1,1,1,1,1,14.08
68araqh7,0,0,0,0,0,-4
zzpnlqei,0,0,0,0,0,-7
v5p7lv20,1,1,1,1,1,21.18
11qpbunz,0,0,0,0,0,-73
yaiqosbx,1,1,0,1,0,3.16
xp91b3qj,1,1,1,1,1,5.33
9t4dpmrw,0,0,0,1,1,25
i6lqx8ts,0,0,0,0,0,-22
sqfmjhqp,0,0,0,0,0,5.5
5kkr5060,0,0,0,0,0,-23
g7uoijja,0,0,0,0,0,-46
8g2iaxf0,0,0,0,0,0,-39.1
1yemb6kz,1,1,0,1,1,1.74
x6cv314a,0,0,0,0,0,-27.5
26ovv9nz,0,0,0,0,0,-24.65
qrj0woux,0,0,0,0,0,-58.1
edydbr11,0,0,0,0,0,-41
i3ugntg2,0,0,0,0,0,-26.9
nil7z8nt,0,0,0,0,0,-6.5
i3wgnab9,0,0,0,0,0,-41.7
7rmwik5s,1,1,1,1,1,19.14
mzj836b0,0,0,0,0,0,-14.6
1gblxsq7,0,0,0,0,0,15.6
t9m6tgki,0,0,0,0,0,-49.7
4hjk8ew7,0,0,0,0,0,6.3
luq8s82b,1,1,1,1,1,17.67
96b2y1fq,0,0,0,0,0,-2.5
iuy2mq1n,0,0,0,0,0,-35
zca7zxyf,0,0,0,0,0,-77.8
jj2wn94h,1,1,1,1,1,0.75
68araqh7,0,0,0,0,0,-40.8
zzpnlqei,0,0,0,0,0,-11
v5p7lv20,2,1,1,1,1,76.72
11qpbunz,0,0,0,0,0,-98.2
yaiqosbx,0,1,0,1,1,-0.8
xp91b3qj,1,1,1,1,1,25.73
9t4dpmrw,0,0,0,0,0,10
i6lqx8ts,0,0,0,0,0,-46
sqfmjhqp,1,1,1,1,1,8.36
5kkr5060,0,0,0,0,0,-36.8
g7uoijja,0,0,0,0,0,-13.2
8g2iaxf0,0,0,0,0,0,-28.7
1yemb6kz,1,1,0,1,1,2.45
x6cv314a,0,0,0,0,0,-25.3
26ovv9nz,0,0,0,0,0,3.55
qrj0woux,0,0,0,0,0,-91.9
edydbr11,0,0,0,0,0,-51
i3ugntg2,0,0,0,0,0,-57.5
nil7z8nt,0,0,0,0,0,-18.1
i3wgnab9,0,0,0,0,0,-22.7
7rmwik5s,1,1,0,1,1,30.59
mzj836b0,0,0,0,0,0,-38.8
1gblxsq7,1,1,1,1,1,43.56
t9m6tgki,0,0,0,0,0,-73.1
4hjk8ew7,1,1,1,1,1,-6
luq8s82b,1,1,0,0,1,46.13
96b2y1fq,0,1,0,0,1,-6.47
iuy2mq1n,0,0,0,0,0,6.2
zca7zxyf,0,0,0,0,0,-76.4
jj2wn94h,1,1,0,1,1,6.06
68araqh7,0,0,0,0,0,-35
zzpnlqei,1,1,1,0,1,25.03
v5p7lv20,2,1,1,1,1,23.45
11qpbunz,0,0,0,0,0,-116.6
yaiqosbx,1,1,0,1,1,17.2
xp91b3qj,1,1,1,1,1,42.71
9t4dpmrw,1,1,1,1,1,1.62
i6lqx8ts,0,0,0,0,0,-65.6
sqfmjhqp,1,1,1,1,1,-22.63
5kkr5060,0,0,0,0,0,-36.4
g7uoijja,0,0,0,0,0,-0.1
8g2iaxf0,0,0,0,0,0,-7.1
1yemb6kz,1,1,0,1,1,-8.33
x6cv314a,0,0,0,0,0,-24.3
26ovv9nz,2,1,1,1,1,0.94
qrj0woux,0,0,0,0,0,-131.7
edydbr11,0,0,0,0,0,-43.8
i3ugntg2,0,0,0,0,0,-91.9
nil7z8nt,0,0,0,0,0,-38.6
i3wgnab9,0,0,0,0,0,-41.5
7rmwik5s,0,1,0,1,1,5.64
mzj836b0,0,0,0,0,0,-55.2
1gblxsq7,1,1,0,1,1,58.4
t9m6tgki,0,0,0,0,0,-125.3
4hjk8ew7,0,0,0,0,0,-2.75
luq8s82b,1,1,0,1,1,34.43
96b2y1fq,0,0,0,0,0,-18.47
iuy2mq1n,2,1,1,1,1,14.62
zca7zxyf,0,0,0,0,0,-91.5
jj2wn94h,1,1,0,1,1,15.88
68araqh7,0,0,0,0,0,-117.9
zzpnlqei,2,1,0,1,1,12
v5p7lv20,2,1,0,1,1,42.26
11qpbunz,0,0,0,0,0,-132.4
yaiqosbx,1,1,0,1,1,24.7
xp91b3qj,1,1,1,1,1,13.81
9t4dpmrw,1,0,0,0,0,-12.18
i6lqx8ts,0,0,0,0,0,-67.8
sqfmjhqp,0,0,0,0,0,-26.83
5kkr5060,0,0,0,0,0,-35.2
g7uoijja,0,0,0,0,0,-16.1
8g2iaxf0,0,0,0,0,0,-17.3
1yemb6kz,1,1,0,1,1,82.38
x6cv314a,0,0,0,0,0,-59.5
26ovv9nz,2,1,1,1,1,4.48
qrj0woux,0,0,0,0,0,-155.7
edydbr11,0,0,0,0,0,-70.6
i3ugntg2,0,0,0,0,0,-107.3
nil7z8nt,0,0,0,0,0,-58.2
i3wgnab9,0,0,0,0,0,-39.5
7rmwik5s,1,1,0,1,1,-5.29
mzj836b0,0,0,0,0,0,-103.2
1gblxsq7,1,1,0,1,1,16.66
t9m6tgki,0,0,0,0,0,-114.1
4hjk8ew7,0,0,0,0,0,2.49
luq8s82b,1,1,0,1,1,23.78
96b2y1fq,0,0,0,0,0,-22.47
iuy2mq1n,2,1,1,1,1,33.84
zca7zxyf,0,0,0,0,0,-93.5
jj2wn94h,1,1,0,1,1,38.69
68araqh7,0,0,0,0,0,-147.7
zzpnlqei,1,1,0,1,1,35.4
v5p7lv20,2,1,0,1,1,162.78
11qpbunz,0,0,0,0,0,-190.8
yaiqosbx,1,1,0,1,1,34.4
xp91b3qj,1,1,1,1,1,-6.04
9t4dpmrw,0,0,0,0,0,-38.18
i6lqx8ts,0,0,0,0,0,-92
sqfmjhqp,0,0,0,0,0,-32.85
5kkr5060,0,0,0,0,0,-68.4
g7uoijja,0,0,0,0,0,-18.6
8g2iaxf0,0,0,0,0,0,-49.2
1yemb6kz,1,1,0,1,1,86.54
x6cv314a,0,0,0,0,0,-48.9
26ovv9nz,2,1,1,1,1,28.6
qrj0woux,0,0,0,0,0,-153.7
edydbr11,0,0,0,0,0,-77.4
i3ugntg2,0,0,0,0,0,-70.3
nil7z8nt,0,0,0,0,0,-93.5
i3wgnab9,0,0,0,0,0,-46.5
7rmwik5s,1,1,1,1,1,-1.68
mzj836b0,0,0,0,0,0,-96.6
1gblxsq7,1,1,0,1,1,4.92
t9m6tgki,0,0,0,0,0,-122.4
4hjk8ew7,0,0,0,0,0,-22.29
luq8s82b,0,0,0,0,0,-0.22
96b2y1fq,0,0,0,0,0,-25.97
iuy2mq1n,2,1,0,1,1,34.76
zca7zxyf,0,0,0,0,0,-94.1
jj2wn94h,1,1,0,1,1,58.82
68araqh7,0,0,0,0,0,-137.1
zzpnlqei,1,1,0,1,1,73.6
v5p7lv20,2,1,1,1,1,158.38
11qpbunz,0,0,0,0,0,-179.8
yaiqosbx,1,1,0,1,1,48.13
xp91b3qj,1,1,0,1,1,9.82
9t4dpmrw,0,0,0,0,0,-38.78
i6lqx8ts,0,0,0,0,0,-101.8
sqfmjhqp,0,0,0,0,0,-13.85
5kkr5060,0,0,0,0,0,-124.9
g7uoijja,0,0,0,0,0,-22
8g2iaxf0,0,0,0,0,0,-32
1yemb6kz,1,1,0,1,1,140.51
x6cv314a,0,0,0,0,0,-78.3
26ovv9nz,2,1,1,1,1,33.76
qrj0woux,0,0,0,0,0,-160.7
edydbr11,0,0,0,0,0,-85.4
i3ugntg2,0,0,0,0,0,-75.7
nil7z8nt,0,0,0,0,0,-79.9
i3wgnab9,0,0,0,0,0,-64.7
7rmwik5s,1,1,1,1,1,27.75
mzj836b0,0,0,0,0,0,-107.2
1gblxsq7,1,1,0,1,1,32.38
t9m6tgki,0,0,0,0,0,-137.4
4hjk8ew7,0,0,0,0,0,-88.49
luq8s82b,0,1,1,1,1,23.53
96b2y1fq,0,0,0,0,0,-36.37
iuy2mq1n,1,1,0,1,1,66.53
zca7zxyf,0,0,0,0,0,-103.9
jj2wn94h,1,1,0,1,1,31.48
68araqh7,0,0,0,0,0,-122.7
zzpnlqei,1,1,0,1,1,129
v5p7lv20,2,1,1,1,1,189.23
11qpbunz,0,0,0,0,0,-177
yaiqosbx,1,1,0,1,1,36.1
xp91b3qj,0,0,0,0,0,-32.08
9t4dpmrw,0,0,0,0,0,-63.78
i6lqx8ts,0,0,0,0,0,-99.8
sqfmjhqp,0,0,0,0,0,-7.85
5kkr5060,0,0,0,0,0,-114.3
g7uoijja,0,0,0,0,0,-64
8g2iaxf0,0,0,0,0,0,-5.4
1yemb6kz,1,1,0,1,1,170.06
x6cv314a,0,0,0,0,0,-109.3
26ovv9nz,2,1,0,1,1,32.5
qrj0woux,0,0,0,0,0,-182.3
edydbr11,0,0,0,0,0,-54.4
i3ugntg2,0,0,0,0,0,-131.5
nil7z8nt,0,0,0,0,0,-62.3
i3wgnab9,0,0,0,0,0,-68.3
7rmwik5s,2,1,0,1,1,44.5
mzj836b0,0,0,0,0,0,-131.2
1gblxsq7,1,1,0,1,1,49.29
t9m6tgki,0,0,0,0,0,-150
4hjk8ew7,0,0,0,0,0,-78.71
luq8s82b,1,1,0,1,1,26.42
96b2y1fq,0,0,0,0,0,-52.57
iuy2mq1n,1,1,0,1,1,102.03
zca7zxyf,0,0,0,0,0,-109.1
jj2wn94h,1,1,0,1,1,48.48
68araqh7,0,0,0,0,0,-84.5
zzpnlqei,1,1,0,1,1,106.8
v5p7lv20,2,1,1,1,1,247.54
11qpbunz,0,0,0,0,0,-142.2
yaiqosbx,1,1,0,1,1,36.8
xp91b3qj,0,1,0,1,1,-2.97
9t4dpmrw,0,0,0,0,0,-83.18
i6lqx8ts,0,0,0,0,0,-110
sqfmjhqp,0,1,1,1,1,-0.93
5kkr5060,0,0,0,0,0,-115.9
g7uoijja,0,0,0,0,0,-71
8g2iaxf0,1,1,1,1,1,4.96
1yemb6kz,1,1,0,1,1,153.15
x6cv314a,0,0,0,0,0,-149.3
26ovv9nz,0,1,0,1,1,5.43
qrj0woux,0,0,0,0,0,-169.3
edydbr11,0,0,0,0,0,-93.4
i3ugntg2,0,0,0,0,0,-129.1
nil7z8nt,0,0,0,0,0,-73.4
i3wgnab9,0,0,0,0,0,-66.4
7rmwik5s,2,1,1,1,1,85.38
mzj836b0,0,0,0,0,0,-130
1gblxsq7,1,1,0,1,1,77.26
t9m6tgki,0,0,0,0,0,-174.2
4hjk8ew7,0,0,0,0,0,-49.11
luq8s82b,1,1,0,1,1,17.82
96b2y1fq,0,0,0,0,0,-69.57
iuy2mq1n,2,1,0,1,1,113.93
zca7zxyf,0,0,0,0,0,-96.9
jj2wn94h,1,1,0,1,1,67.08
68araqh7,0,0,0,0,0,-80.5
zzpnlqei,1,1,0,1,1,132.51
v5p7lv20,2,1,0,1,1,350.66
11qpbunz,0,0,0,0,0,-168.6
yaiqosbx,1,1,1,1,1,55.32
xp91b3qj,1,1,0,1,1,6.18
9t4dpmrw,0,0,0,0,0,-101.38
i6lqx8ts,0,0,0,0,0,-109.2
sqfmjhqp,0,0,0,0,0,-49.38
5kkr5060,0,0,0,0,0,-115.7
g7uoijja,0,0,0,0,0,-100.6
8g2iaxf0,1,1,0,1,1,26.07
1yemb6kz,1,1,0,1,1,153.09
x6cv314a,0,0,0,0,0,-140.5
26ovv9nz,2,1,0,1,1,18.59
qrj0woux,0,0,0,0,0,-181.1
edydbr11,0,0,0,0,0,-119.4
i3ugntg2,0,0,0,0,0,-130.3
nil7z8nt,0,0,0,0,0,-88.6
i3wgnab9,0,0,0,0,0,-43.8
7rmwik5s,2,1,1,1,1,89.11
mzj836b0,0,0,0,0,0,-119.8
1gblxsq7,1,1,0,1,1,94.73
t9m6tgki,0,0,0,0,0,-193.6
4hjk8ew7,0,0,0,0,0,-33.91
luq8s82b,1,1,0,1,1,1.31
96b2y1fq,0,0,0,0,0,-64.97
iuy2mq1n,2,1,0,1,1,130.44
zca7zxyf,0,0,0,0,0,-84.9
jj2wn94h,1,1,0,1,1,61.82
