code,1,19,2,29,3,39,4,49,5,59,6,69,7,79,8,89,9,99,10,109,11,119,12,129,13,139,biao,kaishi,ability,val,treat
iuy2mq1n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,0,2,-16,0,-37,0,-37,2,-37,1,0,1,0,1
ag8yu9h7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,2,-11,0,-37,0,-37,1,-37,1,0,1,0,3
g004gng8,0,0,0,0,0,-3,0,-3,0,-3,0,-3,0,-3,2,-4,0,-3,2,-14,0,-36,0,-36,6,-36,1,0,1,0,2
c3206739,0,0,0,0,0,-3,0,-3,0,-3,0,-3,0,-3,1,-4,0,-3,2,-9,0,-36,0,-36,2,-36,1,0,1,0,3
xluifzfl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,2,-11,0,-36,0,-36,2,-36,1,0,1,0,3
z873r4vo,0,0,0,0,0,-15,0,-15,0,-15,0,-15,0,-15,1,-16,0,-15,2,-21,0,-36,0,-36,5,-36,1,0,0,0,3
edydbr11,0,0,0,0,0,-6,0,-6,0,-6,0,-6,0,-6,3,-6,0,-6,2,-21,0,-35,0,-35,5,-35,1,0,1,0,1
xcoc0hf4,0,0,0,0,0,-18,0,-18,0,-18,0,-18,0,-18,1,-19,0,-18,1,-24,0,-35,0,-35,6,-35,1,0,0,0,1
42bbeqpm,0,0,0,0,0,3,1,4.35,0,3,1,3,1,2.85,0,3.92,0,3.915,3,3.92,0,-34.08,0,-34.08,6,-34.08,1,1,2,0,5
kn4swjew,0,0,0,0,0,-18,0,-18,0,-18,0,-18,0,-18,3,-19,0,-18,1,-34,0,-34,0,-34,5,-34,1,0,0,0,8
7u0jmbd5,0,0,0,0,0,-9,0,-9,0,-9,0,-9,0,-9,2,-10,0,-9,1,-20,0,-33,0,-33,3,-33,1,0,0,0,1
9cikjguk,0,0,0,0,0,-6,0,-6,0,-6,0,-6,0,-6,3,-7,0,-6,1,-22,0,-33,0,-33,2,-33,1,0,1,0,8
8g2iaxf0,0,0,0,0,0,-15,0,-15,0,-15,0,-15,0,-15,1,-16,0,-15,1,-21,0,-32.5,0,-32.5,3,-32.5,1,0,0,0,1
j1e40ha7,0,0,0,0,0,-9,0,-9,0,-9,0,-9,0,-9,1,-10,0,-9,2,-15,0,-32.5,0,-32.5,6,-32.5,1,0,0,0,2
ttjy4cwz,0,0,0,0,0,-12,0,-12,0,-12,0,-12,0,-12,2,-12,0,-12,2,-22,0,-32,0,-32,6,-32,1,0,0,0,2
tgyt0okw,0,0,0,0,0,-6,0,-6,0,-6,0,-6,0,-6,2,-7,0,-6,1,-17,0,-32,0,-32,4,-32,1,0,1,0,3
3rqszw2y,0,0,0,0,0,-6,0,-6,0,-6,0,-6,0,-6,3,-7,0,-6,2,-22,0,-32,0,-32,0,-32,1,0,1,0,3
8yww2xfk,0,0,0,0,0,-3,0,-3,0,-3,0,-3,0,-3,3,-4,0,-3,2,-19,0,-32,0,-32,5,-32,1,0,1,0,5
o6m81rh2,0,0,0,0,0,-6,0,-6,0,-6,0,-6,0,-6,2,-7,0,-6,1,-17,0,-32,0,-32,6,-32,1,0,1,0,5
9jhn3kb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,3,-1,0,-31,0,-31,5,-31,1,0,1,0,8
