x,y
9.999309,4.653246
6.9586363,11.2834015
-6.0723186,-12.240643
-11.545199,-12.767787
5.454643,10.428487
10.143482,4.064731
-5.1037326,-8.84041
3.4245594,7.602175
6.0387216,10.839318
4.311213,16.457447
9.717278,4.212264
8.823967,4.02903
10.256293,2.8931985
14.869705,7.4780574
12.604544,4.482463
-5.9840064,-11.569481
-11.546135,-12.21539
7.3383865,11.075117
7.875504,10.3516865
7.7713366,11.621213
9.52732,8.577631
12.727256,14.408038
6.2183204,13.989251
-6.0533237,-11.036489
-11.606092,-11.394517
-3.6728873,-13.714872
-12.395053,-14.999478
-5.6049604,-12.108175
-11.959762,-12.595665
-5.0059624,-12.264102
-12.841159,-12.6479025
-5.838734,-16.271135
-16.939682,-11.930789
-10.127991,-12.5862055
5.7016325,9.923465
6.4560785,9.262173
4.6493025,9.495177
8.153775,7.466128
13.681884,15.748453
4.451788,13.493068
3.2076683,7.2298627
6.333544,10.382985
4.2443132,18.010216
-1.9700401,-10.766407
5.2536025,1.6543059
9.76014,3.5620904
-4.54788,-8.66763
8.722619,3.4312148
10.200355,2.236821
14.313621,7.23679
11.939886,3.8949919
-4.005995,-8.838624
-7.441333,-17.731745
-10.498713,-8.466753
-5.5928774,-9.906115
-11.708909,-10.523717
-9.866967,-6.4916315
3.8996968,6.5480404
7.10118,9.693519
4.793943,17.08388
3.0364187,6.500505
10.270581,19.964705
4.233351,9.3051605
4.3559203,16.922316
8.932631,7.7401376
3.2048254,16.951954
13.178235,14.976379
8.790929,18.41348
5.2823286,13.755584
8.275525,3.3074236
9.869696,2.4016197
14.720654,7.6663737
13.025092,3.5929985
9.069005,2.4614227
14.600016,8.378446
12.731715,4.148933
15.8168,7.7706656
12.492294,2.4154665
15.212746,5.717752
-3.376248,-13.03907
-12.522894,-14.5211
-5.3382525,-11.121029
-11.987004,-11.964957
-4.5350375,-11.388828
-12.859623,-12.0480175
-6.229699,-16.445238
-17.395315,-11.490072
-9.99947,-11.631841
8.261363,10.232231
8.3199835,11.547043
9.962789,8.782316
14.269921,13.128941
6.929623,13.440479
8.7075,10.842667
9.091636,9.283274
13.400846,13.795491
6.5261292,15.034498
10.310774,9.759432
12.443981,14.428606
6.3950663,14.379906
12.098475,13.215499
7.8406596,14.861806
10.553688,16.126495
-2.6148298,-12.520749
-12.60247,-14.773318
-5.334802,-10.655101
-12.027664,-11.206887
-4.482827,-10.97453
-12.880588,-11.139418
-6.2099853,-16.390997
-17.25575,-11.658875
-9.9987335,-10.535716
-2.5923707,-13.825174
-12.988783,-15.807106
-3.355714,-13.467872
-13.6995,-14.741672
-4.45542,-16.938559
-16.902195,-14.6262045
-11.0805025,-15.207988
-4.544258,-11.860343
-13.322646,-12.301346
-6.4205217,-15.30067
-17.740532,-12.655258
-10.032892,-12.405539
-5.3504276,-15.490033
-16.53155,-12.830781
-9.104163,-12.012729
-16.068695,-11.14783
6.5740156,8.89045
4.9711413,8.889552
7.9113693,7.113579
15.411915,15.023021
4.0937405,12.597171
5.504595,8.025429
7.526058,8.00299
14.453761,15.545765
3.9269223,14.242436
6.571692,6.6059337
13.679917,16.299757
4.15653,13.703679
14.592426,16.922323
2.6256385,14.126579
11.9472275,17.534847
-10.52763,-8.511995
9.592716,11.256506
3.7908092,5.6302867
7.384971,9.403521
4.662857,18.020836
-1.5536937,-10.448832
2.7378566,6.344327
10.129935,20.298895
4.3690057,8.577329
4.248953,18.263573
9.132556,7.3191724
3.3217385,17.942656
15.011728,13.83966
8.32716,18.703642
5.4456034,12.816541
-1.6658293,-10.371654
-7.0275936,-18.332172
-11.77998,-6.847343
-2.3964171,-11.814222
-12.556896,-14.203406
-10.612184,-6.1523085
-2.5120318,-7.658301
-3.4407756,-8.34863
5.056764,1.7447399
7.4848437,2.478457
4.612086,1.0590171
9.693664,1.5508641
14.011416,7.2828026
12.13398,3.451808
-7.6995435,-17.691248
-10.295477,-7.7984896
-4.941172,-9.678083
-11.967895,-10.441593
-9.514661,-6.280329
8.897002,1.6964173
13.906669,7.9534082
11.906162,3.888773
15.865642,7.4686155
11.95902,2.4686825
14.737479,5.8523765
-7.6381435,-17.799664
-11.089022,-7.892614
-4.1139026,-9.682013
-12.747079,-10.373066
-9.558269,-6.197126
-14.637977,-8.180776
-6.785036,-16.85122
-17.601429,-11.020389
-10.18348,-9.090088
-13.981345,-7.678259
3.232145,5.9975104
10.175219,20.103764
5.7208133,16.021658
5.0703216,7.5589323
5.0580254,17.233105
8.366524,8.441244
3.384652,17.285881
13.959064,14.529987
8.349776,18.38165
5.080029,15.162193
10.609001,20.07842
6.400951,6.0965657
2.996889,17.200386
12.76113,15.486643
9.010201,19.048746
5.1713586,14.347132
11.97539,13.691644
8.797357,18.244997
2.9892137,15.1903925
10.887788,17.049301
8.541022,1.9892849
14.442445,8.443329
13.146624,3.5646517
15.833165,7.9175544
12.873484,2.4954903
15.028427,5.5486627
15.601217,8.458691
12.525957,2.2265582
15.281837,5.5011063
15.857156,5.9541273
-2.2250395,-13.393515
-13.102341,-15.746377
-3.24539,-12.830081
-13.608096,-14.3529625
-4.7254996,-17.21912
-17.198833,-14.767512
-10.885812,-14.642248
-3.8837044,-10.541065
-13.359483,-11.845818
-6.7361217,-15.604791
-18.083933,-12.286829
-10.194191,-11.587398
-5.486962,-15.61819
-16.6381,-12.744276
-9.0629835,-11.348719
-16.422634,-10.483771
9.228976,11.078386
9.409592,9.454656
13.956921,13.030163
7.2299557,13.9057045
10.48663,9.485726
14.108217,12.698402
7.198903,13.423139
13.087975,12.30606
8.090353,14.120227
10.185208,15.853859
9.834695,10.050134
13.156768,13.639081
6.3340387,15.529298
12.581698,12.764349
7.489188,15.35437
10.125369,16.291979
11.9677105,12.989767
7.84619,14.893238
10.890871,15.867577
10.334786,15.279919
-1.0820683,-10.559633
-1.9457266,-12.90004
-13.211476,-15.866825
-2.6775525,-12.44223
-13.765383,-14.609834
-4.671443,-17.200521
-17.122988,-14.69317
-11.086847,-14.887444
-3.8640342,-10.341146
-13.275406,-11.121812
-6.691961,-15.486079
-18.015387,-12.444225
-10.335828,-10.500898
-5.4751983,-15.522556
-16.652218,-12.738895
-9.315451,-10.452236
-16.09956,-10.575134
-2.5067086,-13.75492
-13.945776,-15.473605
-4.0351844,-16.723282
-17.547743,-14.300102
-11.580681,-16.00821
-4.2058215,-16.390676
-16.588655,-14.230991
-10.9188,-15.689993
-16.287323,-15.00791
-5.8102803,-14.892258
-17.38672,-13.098438
-9.113367,-12.503837
-15.945784,-11.501266
-15.767274,-12.158676
5.881364,8.281782
7.249259,7.7394447
15.336341,15.292251
3.5350432,12.78845
7.015295,6.7116537
15.754271,15.411375
3.8042898,12.404131
15.697929,16.37516
2.5840707,13.020625
12.113691,18.06555
-2.2327728,-7.3496714
6.382101,7.2271833
14.428013,16.015694
4.0603676,14.612476
15.058202,16.749016
2.755,14.21701
11.826066,17.708502
14.418094,17.159634
2.3681297,13.83405
12.322045,17.299524
12.808031,17.958921
-2.4971762,-7.6656833
-11.794871,-6.862016
-10.359398,-7.8474917
-11.151251,-7.980582
-14.654311,-8.195569
-11.611018,-8.662692
