code,work,1,11,2,21,3,31,4,41,5,51,6,61,7,71,8,81,9,91,10,risk,biao
1v3nqxwb,0,1,3,0,-2,0,-2,0,-2,0,-2,0,-3,0,-2,1,-3,0,-1,-1,6,1
czeeddwe,0,1,9,1,4.8,0,4,1,4,1,3.8,0,3.32,0,4.32,2,3.32,0,-14.68,-14.68,4,1
7dv78fh8,0,0,-9,0,-9,0,-9,0,-9,0,-9,1,-10,0,-9,1,-15,0,-17.5,-17.5,6,1
dz4i0852,0,0,-15,0,-15,0,-15,0,-15,0,-15,1,-16,0,-15,3,-21,0,-66,-66,6,1
ds12f176,0,0,3,1,2.7,1,3,1,3.3,1,3.45,0,1.13,0,2.43,2,1.13,0,-25.87,-25.87,6,1
7u0jmbd5,0,0,-9,0,-9,0,-9,0,-9,0,-9,2,-10,0,-9,1,-20,0,-33,-33,3,1
otvnb5te,0,0,-18,0,-18,0,-18,0,-18,0,-18,3,-19,0,-18,2,-34,0,-39,-39,6,1
apblb506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5.5,-5.5,6,1
9pofl3q7,0,0,-15,0,-15,0,-15,0,-15,0,-15,0,-16,0,-15,1,-16,0,-23,-23,6,1
9iua8wlt,0,0,3,1,3.9,1,3,1,3.6,1,3.9,0,2.91,0,3.51,1,2.91,0,7.91,7.91,6,1
4uuf90e3,0,0,-21,0,-21,0,-21,0,-21,0,-21,1,-22,0,-21,1,-27,0,-21,-21,6,1
v74p7xt0,0,1,6,1,0.55,0,1,1,1,1,1.05,0,-1,0,0.495,1,-1,0,4,4,6,1
mykpue2n,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-6,0,-2.5,-2.5,4,1
6e0ikkw9,0,0,3,1,6.09,1,3,1,3.9,1,4.09,0,4.57,0,5.481,2,4.57,0,-10.43,-10.43,5,1
hksrzrsd,0,0,3,1,5.45,1,3,1,3.3,1,3.45,0,3.61,0,4.905,1,3.61,0,-6.89,-6.89,1,1
e4uy9bw2,0,0,-15,0,-15,0,-15,0,-15,0,-15,0,-16,0,-15,1,-16,0,-18.5,-18.5,6,1
ufku1mka,0,0,3,1,9.6,1,3,1,4.8,1,5.1,0,6.84,0,8.64,0,6.84,0,9.84,9.84,3,1
ttjy4cwz,0,0,-12,0,-12,0,-12,0,-12,0,-12,2,-12,0,-12,2,-22,0,-32,-32,6,1
idr031u6,0,1,9,1,7.85,1,4,1,6.4,1,6.35,0,3.67,0,7.065,3,3.67,0,-16.33,-16.33,4,1
s1ftoyto,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,4,4,5,1
